,compn,exp. pKa,pKa predicted by models:2-6,pKa predicted by models:3-3,pKa predicted by models:2-1,pKa predicted by models:3-9,pKa predicted by models:3-8,pKa predicted by models:3-5,pKa predicted by models:2-2,pKa predicted by models:2-3,pKa predicted by models:4-2,pKa predicted by models:2-9,pKa predicted by models:2-8,pKa predicted by models:2-5,pKa predicted by models:4-3,pKa predicted by models:2-4,pKa predicted by models:2-7,pKa predicted by models:2-0,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:3-0,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:4-7,pKa predicted by models:3-1,pKa predicted by models:4-6,pKa predicted by models:4-0,pKa predicted by models:4-1,consensus
69,sm7-25_neut->an,4.49,4.7714176,4.4133515,4.8845143,4.5753794,4.6251764,4.3023458,4.0006003,4.694021,5.208532,5.0006847,4.3051953,4.8563347,4.902282,4.7439075,4.9812307,4.987602,4.1591773,4.332864,4.7069345,3.6968474,4.441195,4.842712,4.6035857,4.897095,3.9014244,4.701792,4.2261915,4.581068,3.9243183,4.6485734,4.561495296109108
70,sm7-26_neut->an,4.91,5.860823,4.5594435,6.157187,5.6512303,6.9469795,6.7605596,5.234263,4.574701,6.498263,6.1390085,6.048867,6.7430887,5.1269026,5.1174974,6.538147,6.178315,5.8816757,4.5456514,5.6536074,5.6989164,5.6688566,6.5051413,5.656164,6.151361,4.8220634,4.952548,5.222657,6.340885,5.539303,5.3969536,5.712292276197864
71,sm7-27_neut->an,10.45,10.709692,10.626678,11.431801,12.190302,12.722354,11.252178,10.403705,11.324069,11.5745125,11.079363,12.251461,10.497768,11.173786,10.592415,10.629387,11.272419,12.356026,12.208818,10.528748,10.9776745,12.48032,12.895115,10.600746,10.363289,10.763983,11.388114,10.931939,11.2892275,10.55516,11.090208,11.245524443349531
72,sm7-29_neut->an,10.05,11.082232,11.558477,12.179527,12.054838,12.948325,12.233658,10.41002,12.189883,11.921249,11.30423,12.355356,12.214633,11.71361,10.722553,11.438101,11.987978,11.688411,12.264366,11.203745,10.726688,11.909173,12.525427,12.875852,11.617457,10.733761,12.301957,11.25136,11.734198,12.324018,11.204848,11.700836513888452
73,sm7-30_neut->an,10.29,9.78665,9.777993,9.585466,10.280661,9.868603,11.8183,9.140836,9.599754,9.571309,11.087212,9.529051,10.779542,8.8604965,9.716789,8.893972,10.890889,9.1997385,10.170089,10.040543,8.8216915,10.458979,10.625702,9.861867,9.877071,9.503918,10.502657,9.336695,9.865603,10.560269,9.828745,9.939712617935673
74,sm7-31_neut->an,11.02,9.926743,10.155527,10.065928,11.344663,12.183952,10.954597,9.340559,10.585726,11.370773,11.049383,10.46343,10.825423,10.316217,10.475191,10.475337,11.491657,9.531286,11.329396,9.939719,9.84605,11.017267,11.36359,10.85573,10.18888,10.846003,10.87533,9.8372555,10.686104,11.359119,10.364323,10.647908442097325
75,sm7-32_neut->an,10.45,9.871665,10.2865925,10.029642,11.161664,10.721994,11.150232,9.808565,10.748765,10.5515,10.683435,10.17685,10.802988,10.137381,10.0175295,10.9164505,11.027658,10.484444,10.8539,10.44698,9.463184,11.325199,11.153318,10.752895,10.779509,9.830352,10.507696,9.793924,10.241346,11.572522,10.013059,10.508427195395193
76,sm7-34_neut->an,11.93,10.692379,9.335863,10.463942,10.965561,11.836307,11.130264,10.368204,9.943947,10.275805,11.399271,9.90753,9.959875,10.687696,8.835672,11.218524,10.5983095,10.526289,10.165103,10.796832,10.750267,11.450198,11.127058,11.385442,11.472736,10.157419,10.504439,10.326286,10.024354,10.975541,10.299495,10.629374525008663
77,sm7-35_neut->an,9.87,10.303281,10.387543,10.322992,10.676635,11.013543,11.236363,8.87664,10.754503,10.445439,10.405286,10.133075,11.077744,10.25213,10.1814575,10.799126,10.874786,10.702771,10.895111,9.956491,10.054819,10.95493,10.948502,11.309334,11.191676,9.547395,10.952229,9.374156,10.347964,11.017514,10.174404,10.485091613031203
78,sm7-36_neut->an,9.8,7.620999,9.348314,8.432806,9.433765,8.60331,9.015623,8.303342,9.230022,9.2938385,9.783012,8.627382,9.338172,8.961041,8.860912,9.996537,9.505253,8.946755,9.015285,9.833342,7.970585,8.784379,8.726134,10.033716,8.697404,8.070899,9.537731,8.063549,8.640081,9.113079,8.965206,8.985563748882663
79,sm7-37_neut->an,10.33,9.439596,9.391109,10.077807,10.543096,10.584651,10.262428,9.671211,9.277807,10.002008,10.8391285,9.523994,9.305996,9.553822,9.425541,10.661639,9.930351,9.817465,9.746627,10.085317,9.750175,11.325422,10.473653,9.735218,10.437654,10.054024,9.794833,10.018612,9.295467,9.847011,9.881892,9.970437298436318
80,sm7-38_neut->an,9.44,9.393192,10.067295,9.279081,10.014676,10.666859,9.778035,9.130002,9.734556,9.818163,10.265622,9.840723,10.342974,9.279703,9.314881,10.217009,10.02655,9.605236,10.631764,9.09446,9.458359,10.090564,10.286469,10.420425,9.336248,9.388439,10.163864,9.129527,10.122519,10.369445,9.021561,9.797683944702149
81,sm7-39_neut->an,10.22,8.178242,8.683004,8.147724,9.718069,9.0483265,9.410431,7.9313464,8.378365,9.638247,9.990119,8.689598,9.454462,8.656321,9.930277,9.455869,8.53801,9.003244,9.060312,8.4778385,9.163714,9.177287,10.154589,8.980793,9.146646,8.8685,8.499208,7.8442454,8.861801,9.089437,8.105185,8.983909967484013
82,sm7-40_neut->an,9.58,9.640047,9.7122755,9.230486,10.521575,11.599312,10.776725,8.632179,9.737975,10.708994,10.507719,10.034817,10.193588,9.459347,9.575398,10.219879,10.786248,9.618522,10.765866,10.074984,9.808584,10.685144,10.563023,10.725325,10.575287,9.847522,11.352106,8.87174,9.209244,10.323236,9.008665,10.075671383027107
83,sm7-41_neut->an,5.22,6.104246,6.56839,6.1035604,6.2137475,6.2871265,6.167438,6.215163,5.982897,5.8961577,6.0392814,6.0245256,7.071521,5.9331045,6.2311363,6.246551,5.656332,6.7896023,5.7009783,5.9425592,5.9164133,6.199505,6.7758136,5.4795876,6.8817296,5.5922127,6.657222,5.725261,6.426869,5.639153,6.2955675,6.128504898317399
84,sm7-42_neut->an,6.62,5.8372,5.8996606,4.774987,5.642436,5.010483,6.68909,5.6768475,5.6755853,5.7192726,5.915122,5.6370726,6.8278055,5.9534507,5.583409,6.285781,5.3972907,5.913535,4.8819094,5.385181,5.2936535,5.4992414,6.133774,6.0258627,6.560828,5.1263866,6.818034,4.7703257,5.798874,5.7143283,6.015637,5.776873023125433
85,sm7-43_neut->an,5.62,5.959009,6.581407,6.337242,6.331144,6.7744217,6.8727665,6.5174403,6.55339,6.809887,6.202968,6.444268,7.0513916,6.7160835,6.1446843,7.1681223,6.410543,6.1405225,5.6413183,6.282359,6.343791,6.504944,7.4733877,6.3412905,6.638818,6.2715025,6.4752984,5.898452,6.1101894,6.316992,6.4061003,6.430313990808303
86,sm7-44_neut->an,6.34,7.446682,7.4518013,7.2899427,7.979127,8.218722,7.9816785,8.129195,8.153884,8.624405,7.61104,8.071595,8.35493,7.312223,7.6261554,7.839825,9.110956,7.753168,6.964985,8.028094,7.7637653,8.675428,8.580989,8.030514,7.448328,6.987713,8.41514,8.006649,7.6987333,8.010094,7.717434,7.858812819450132
87,sm7-45_neut->an,5.93,6.930792,7.084711,6.207248,7.2545404,7.941058,7.097287,6.1994767,7.181447,7.286864,6.5607467,7.384656,6.529973,6.558909,6.4199486,8.52123,7.8809037,6.541492,6.1176863,7.172247,6.577456,7.3954573,8.087992,8.030954,6.839221,6.7128057,8.648982,7.0062394,6.575927,7.020907,7.404734,7.067802957719373
88,sm7-46_neut->an,6.42,7.6224346,7.7478085,7.390285,7.6811185,9.053289,7.956717,7.040272,7.643859,7.5893264,7.383158,7.906363,7.225481,7.5581193,7.3292155,8.815392,8.48613,7.967887,7.0394278,8.012003,7.5053363,8.130546,8.20144,8.358385,8.12233,7.1320934,8.101488,8.0071945,7.815157,7.7509956,7.6502476,7.762693525745023
89,sm8-1_neut->an,3.99,4.1663957,4.2291694,3.9250245,3.7993999,3.7402596,4.0136065,4.1354856,4.4209814,3.9956918,3.9891644,3.9004006,3.8556128,4.4321976,3.4493928,4.4833355,4.6433773,4.247109,3.0624504,4.2395935,3.7629337,4.200273,4.3337836,4.5215025,4.6428514,3.3080702,3.9580796,4.4488993,4.2840357,4.2107925,4.116149,4.080839310615294
90,sm8-2_neut->an,4.5,4.3383627,3.5523996,4.019062,5.273078,5.06511,4.5280104,5.0183983,3.9013362,5.0190682,5.0950747,4.898486,4.2093396,4.008266,4.7045827,4.9135594,4.3837914,5.278695,5.2242565,4.8605447,5.3457913,5.654643,5.3826685,4.3183928,4.9634814,5.0207577,5.116405,4.7667956,5.1509314,4.567254,4.7252607,4.767864627222861
91,sm8-3_neut->an,4.0,3.4432936,2.8230882,3.8487294,3.5065298,3.3867335,3.983972,4.082095,3.6180854,3.5132036,3.1118603,3.6167102,3.986959,3.8946376,3.4295087,3.6735988,3.255784,3.8157425,3.1048822,3.8336036,2.8659458,3.1985774,4.0180078,4.063903,3.765685,3.9313045,3.0473828,4.354038,3.4181423,3.762354,3.9422286,3.6224705250032487
92,sm8-4_neut->an,5.77,3.7527323,3.7924638,4.884013,4.2915106,4.3518333,4.562957,4.780003,4.6854024,4.447233,3.6832895,3.8069787,4.3783407,3.6370277,3.8797407,4.1881466,4.000577,4.9728327,4.047349,3.833973,3.616119,4.853021,5.5790496,4.1891847,4.1321163,4.076641,4.124145,4.664694,3.8496675,4.3631372,4.241295,4.304370142413723
93,sm8-5_neut->an,4.23,3.6498847,4.510005,4.8204036,4.1172657,4.1941557,3.3224459,4.2030926,4.7565184,4.6096277,3.6006708,3.9565592,3.4231567,4.636002,3.7825332,4.62381,4.5234137,5.198241,3.2205753,3.4231844,3.6989245,4.0522304,4.4011207,3.8085737,3.888812,3.3173828,3.9930456,5.002311,4.8023787,4.821911,4.0738945,4.1503913088767765
94,sm8-6_neut->an,4.17,4.1543126,3.247624,3.9006171,3.4857898,3.468915,4.3321414,4.163586,3.934547,4.7273574,3.7228045,3.9970918,5.095785,3.704606,3.7048693,4.532976,3.5419836,5.2491956,3.6089745,4.314542,3.9824576,3.0860233,3.9581141,3.7653909,4.5147676,4.0980425,3.8520663,4.4691772,4.1451206,3.6088881,4.10963,4.0208837807563045
95,sm8-7_cation->neut,6.63,6.0657215,6.0577965,6.234494,6.3469706,5.71519,5.701441,6.2977085,6.011791,6.385414,6.6640453,6.0392647,5.643536,6.1840253,6.862875,6.884103,6.8224745,6.049094,7.496937,6.1891565,7.17097,6.3908396,5.98847,6.783223,6.2762985,7.1993823,6.425178,6.3186293,6.889861,6.626355,6.5132313,6.414983130424253
96,sm8-8_cation->neut,2.78,1.5870314,0.6863408,1.9157252,2.1350698,2.0807652,1.6518793,2.130735,0.5101633,1.7123117,1.341816,0.93546057,1.63416,0.5575948,2.1217117,2.2765365,3.9104166,2.0869646,1.808928,2.4428792,2.3954558,1.7475977,1.4702935,2.7904773,2.0282993,1.2740812,2.0822713,1.5408249,2.776118,2.4574952,2.2312937,1.906474122078188
97,sm8-9_cation->neut,6.08,6.6979074,6.6775255,5.9978266,6.8225956,5.9994216,6.107872,6.7259674,6.2604237,6.6637306,6.739698,6.0529623,6.1568794,6.480451,6.715225,7.3136563,6.3775277,6.394685,7.5857916,6.8491716,7.25224,6.848213,6.0770955,6.3883834,6.2421703,7.5596166,6.9107766,6.375392,6.968695,6.1622505,6.979141,6.595590101672757
98,sm8-10_cation->neut,7.71,7.431098,7.865705,9.185797,5.898667,8.265165,8.36659,8.306613,9.169223,7.2637763,7.30593,7.6917458,8.092768,8.0622635,9.16242,8.252253,8.773446,8.466921,7.662277,9.542944,8.677677,6.584234,8.502908,9.154759,7.1742554,7.499157,7.4131465,8.928033,7.358133,8.732829,8.245302,8.08858180692119
99,sm8-12_cation->neut,6.98,7.0394697,6.863019,6.8993745,6.343243,6.973295,6.336397,7.453416,7.037054,6.7414203,6.9419518,6.854046,6.262763,6.8345838,7.345498,7.595995,6.2480984,6.9765778,7.953557,7.5189753,6.6667633,7.252515,7.0680904,6.9143443,6.716877,8.026972,7.213592,6.7562,7.5619926,6.9129214,7.1171207,7.01310074652395
100,sm8-14_cation->neut,7.27,6.613513,6.6919107,6.909705,6.9812193,6.9494066,6.469076,6.586824,6.981622,6.76839,6.96035,5.8204336,6.3638096,6.4292197,7.3398566,7.0446844,6.424866,6.571669,7.1109266,7.1462793,6.77838,7.3924494,6.9288025,5.9111156,6.595039,7.666939,7.489067,6.8088226,6.90889,6.202158,6.4989614,6.79401247024536
101,sm8-15_cation->neut,2.54,1.7018924,1.994575,2.7794714,2.6437345,2.2019382,2.4368896,2.2008772,1.9407835,1.7988634,2.2042694,1.9549699,1.9483867,1.6698084,2.03612,2.0186887,1.6387954,1.69978,2.4204445,2.1232843,2.699357,2.4191523,1.7696838,1.4844179,2.264604,1.9586706,1.9323502,1.9082742,1.8233385,1.654566,2.3964593,2.0730466547319963
102,sm8-16_cation->neut,5.1,5.2062464,5.6180315,5.7626247,5.402686,5.307315,5.257261,5.5635147,5.6557584,5.4583244,5.2772923,5.9264784,5.3270073,5.832282,5.6874146,5.0759015,5.3932652,5.5375156,5.7895327,5.4422374,4.92558,5.7653203,5.7538886,4.266776,5.1706047,5.8148127,5.621625,4.586359,5.3895154,5.4835734,4.717615,5.390850300942698
103,sm8-17_cation->neut,6.58,6.614698,7.3076215,6.7331076,6.929635,7.173653,6.677081,7.1840005,7.1010633,7.135092,7.004084,6.64083,6.1317673,7.48703,7.407897,7.6936164,7.022447,7.169373,8.482708,7.004392,7.445559,7.587851,7.323544,7.375842,7.5187383,7.818694,7.52735,7.309779,7.0403748,6.564916,6.981682,7.160465396758048
104,sm8-18_cation->neut,2.72,1.638381,1.5795298,2.2458432,2.714744,1.4101515,1.9692798,2.2602952,1.8176267,1.7554502,2.3119192,1.5029283,1.232564,1.4558773,2.257751,1.3943801,1.6117082,1.2178893,2.5986607,2.2626226,1.602818,2.5544093,1.1961832,2.0992308,2.0009055,1.6459384,1.746949,1.5614567,1.7040303,2.524127,1.485692,1.8735271644592284
105,sm8-19_cation->neut,4.93,2.9960413,4.8553295,4.8939495,6.496975,6.1160326,5.748148,5.3420887,5.134901,5.105102,6.2524986,5.0955386,5.3546524,5.163325,8.906846,5.838596,5.3368835,5.5871344,9.686843,5.4774942,4.5834684,6.545399,5.3829446,4.5957694,5.73547,5.23793,4.566705,5.9658895,4.250333,4.7994204,5.2120776,5.522380188357446
106,sm8-19_neut->an,6.99,7.386195,6.911169,6.8763523,6.9209633,7.6947727,7.322587,7.4877,6.4308176,6.9244194,6.280184,7.193019,6.0342355,7.1217947,7.1773825,7.2720175,7.024087,6.4011827,7.140584,7.537421,7.8771205,7.040869,7.238639,6.539747,6.9315996,6.3419743,6.907783,6.752815,6.7432184,6.9733706,6.377486,6.962951836739817
107,sm8-20_cation->neut,2.44,2.9970572,2.5407882,2.292095,2.1424522,1.3700767,2.321516,3.0654294,2.0842779,3.005466,3.0344791,2.2652183,2.39126,1.875978,2.5815725,2.710967,2.0347629,2.4452496,2.706672,3.0139818,2.1488605,2.7705078,1.7835717,2.0979052,2.9608514,2.624958,2.9872448,2.2010849,2.5482328,2.6203995,2.5852654,2.472521987730457
108,sm8-20_neut->an,11.44,13.292387,13.141502,12.46151,14.032328,12.4847145,12.534768,13.021206,12.594864,11.86997,11.730686,11.800624,11.691879,12.650867,12.450087,12.807638,12.3422,12.664387,12.355905,12.43992,12.419084,12.780783,12.001333,12.750199,12.407127,11.762926,13.0731735,10.982225,12.242676,12.596734,12.361773,12.425337958797332
109,sm8-21_cation->neut,5.38,6.1299486,5.897231,5.415668,5.6592817,5.0047355,5.624047,5.6503806,5.696144,4.694437,5.30656,5.224284,5.885046,5.3125153,6.0291243,5.450787,5.9312124,4.744692,6.6537538,5.979679,5.966091,6.759081,5.6427093,4.706639,5.637582,6.131929,5.730864,5.057933,5.751171,5.229748,4.8761797,5.585788830787904
110,sm8-22_cation->neut,2.57,1.8714671,3.0502205,2.9236498,2.5980535,2.1629472,2.2588882,2.2845678,2.793714,2.6329203,2.6668668,2.2826495,2.6803207,2.33636,3.2332077,2.6255848,2.8660545,1.9965916,3.7880814,3.1018066,2.0691705,2.9365008,2.4567413,2.467252,2.581323,3.8161206,3.665143,2.222474,2.240627,2.6522994,2.901916,2.6688232212681924
111,sm8-23_cation->neut,2.65,2.948089,1.5225029,1.5662098,2.9642837,2.4871035,3.004417,1.944509,2.300777,3.0534272,2.5602584,2.3038058,2.3649168,1.2816038,2.381877,2.3951907,3.093288,2.5888703,2.863146,2.770142,3.0450854,2.416215,2.6410408,2.4004865,2.6630552,3.1086488,2.6712809,1.6404605,3.1509373,3.085681,1.863697,2.50745180806806
112,sm8-23_neut->an,9.02,9.881159,9.260971,8.663942,9.745745,10.193954,10.000892,9.795202,9.233505,9.835804,9.698068,9.902502,10.104363,9.236188,8.905226,10.069449,9.672632,10.096416,9.823326,10.11384,8.976123,9.944815,10.54338,9.995693,10.455158,9.034754,9.359425,9.221027,9.714167,10.057833,8.818356,9.657223071436727
