,compn,exp. pKa,pKa predicted by models:4-2,pKa predicted by models:4-3,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:5-2,pKa predicted by models:4-7,pKa predicted by models:4-6,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:4-0,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:4-1,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:5-1,pKa predicted by models:6-0,consensus
71,sm7-27_neut->an,10.45,11.5745125,11.173786,12.48032,12.895115,10.363289,10.763983,11.360443,11.388114,11.2892275,11.467478,12.627358,12.994329,10.690174,11.018967,10.55516,10.857693,11.121592,11.024003,11.084871,12.253843,12.72197,10.582539,11.090208,11.6520405,11.964518,11.142261,10.539391,11.623692,11.240806,11.399722677866617
72,sm7-29_neut->an,10.05,11.921249,11.71361,11.909173,12.525427,11.617457,10.733761,12.02593,12.301957,11.734198,11.738671,12.613643,12.334091,11.800348,12.215432,12.324018,11.348284,11.420828,11.917195,11.778224,11.8567295,12.102018,12.02512,11.204848,11.423164,11.854419,10.8640175,11.559207,11.887106,11.811457,11.753719418843588
73,sm7-30_neut->an,10.29,9.571309,8.8604965,10.458979,10.625702,9.877071,9.503918,9.786924,10.502657,9.865603,9.122741,10.32538,11.051579,9.558498,9.51778,10.560269,9.298658,8.822445,9.712398,10.037324,10.579838,11.246811,10.252665,9.828745,9.873554,10.710903,10.325199,9.322061,9.885481,10.654789,10.000992617289224
74,sm7-31_neut->an,11.02,11.370773,10.316217,11.017267,11.36359,10.18888,10.846003,9.650585,10.87533,10.686104,10.3697405,10.902953,12.402,10.607261,10.47023,11.359119,11.09223,9.754358,10.891384,10.393528,10.416657,11.985714,10.84033,10.364323,10.501902,10.891794,10.325018,9.374856,10.828636,10.491916,10.71995666885376
75,sm7-32_neut->an,10.45,10.5515,10.137381,11.325199,11.153318,10.779509,9.830352,10.257669,10.507696,10.241346,10.329738,11.319141,10.903151,10.807894,10.237203,11.572522,10.273706,10.188885,9.804958,10.646614,10.747175,10.83461,10.6195135,10.013059,9.866331,9.893789,9.764568,10.298028,9.970634,11.282608,10.486936639149983
76,sm7-34_neut->an,11.93,10.275805,10.687696,11.450198,11.127058,11.472736,10.157419,9.850488,10.504439,10.024354,10.762196,11.656959,11.310795,11.757481,10.282896,10.975541,9.151392,9.216507,10.337471,10.795105,11.941488,11.190074,11.582616,10.299495,9.333612,10.080578,10.1479645,10.365824,10.192493,10.400118,10.642026636759441
77,sm7-35_neut->an,9.87,10.445439,10.25213,10.95493,10.948502,11.191676,9.547395,10.458521,10.952229,10.347964,10.375104,11.028862,10.452689,10.943899,10.754699,11.017514,10.703201,10.020244,11.118845,10.717065,10.889683,10.839939,10.930567,10.174404,10.367347,11.043167,10.42247,10.698748,10.970373,10.400438,10.627934777577718
78,sm7-36_neut->an,9.8,9.2938385,8.961041,8.784379,8.726134,8.697404,8.070899,8.411896,9.537731,8.640081,8.792122,8.960478,9.151918,8.649729,8.455605,9.113079,8.699918,8.874666,8.484741,8.802898,8.273918,9.232432,9.394916,8.965206,9.004977,9.132166,8.178501,9.354232,9.0798,9.5788555,8.903452072143555
79,sm7-37_neut->an,10.33,10.002008,9.553822,11.325422,10.473653,10.437654,10.054024,9.338881,9.794833,9.295467,9.771915,11.6629715,10.88115,10.69123,9.932052,9.847011,8.962694,9.123788,9.523721,10.736141,11.813911,10.760108,10.533577,9.881892,9.590961,9.496862,8.952625,8.780697,9.337772,9.383375,10.009007297515868
80,sm7-38_neut->an,9.44,9.818163,9.279703,10.090564,10.286469,9.336248,9.388439,9.603661,10.163864,10.122519,9.554535,10.726092,9.84564,9.757384,9.996649,10.369445,10.096629,9.109118,10.483717,10.0917015,10.414715,9.481216,10.022076,9.021561,9.864773,10.265921,9.612381,10.649856,9.490795,10.419788,9.893454088846843
81,sm7-39_neut->an,10.22,9.638247,8.656321,9.177287,10.154589,9.146646,8.8685,8.738001,8.499208,8.861801,8.624706,8.480447,9.217077,9.242883,9.169865,9.089437,8.835194,8.279697,8.688897,9.134943,9.189449,9.452652,9.583155,8.105185,8.809189,8.432688,8.772767,8.285553,8.899946,8.747504,8.9667277247111
82,sm7-40_neut->an,9.58,10.708994,9.459347,10.685144,10.563023,10.575287,9.847522,9.599657,11.352106,9.209244,9.113726,10.257337,10.998055,10.56092,10.718788,10.323236,10.245119,8.791742,10.845033,10.446723,10.37506,10.778036,11.038759,9.008665,9.575897,11.244362,9.316176,9.515027,8.860564,9.964829,10.118612641652424
83,sm7-41_neut->an,5.22,5.8961577,5.9331045,6.199505,6.7758136,6.8817296,5.5922127,6.0989065,6.657222,6.426869,6.310765,6.1711335,6.3091316,6.878193,6.427882,5.639153,5.4429574,6.031486,5.296342,7.0198765,6.0313106,5.843008,6.633589,6.2955675,5.678074,7.1448746,5.976188,6.14375,5.6876445,6.5123196,6.171825527191162
84,sm7-42_neut->an,6.62,5.7192726,5.9534507,5.4992414,6.133774,6.560828,5.1263866,5.349957,6.818034,5.798874,6.3055415,5.1523733,6.0424027,6.203826,5.552799,5.7143283,5.2718434,5.3911767,5.4799533,5.0635953,5.381457,5.200343,6.4223604,6.015637,5.297911,6.8857203,5.244751,5.4912505,4.610663,6.5324106,5.761338730494182
85,sm7-43_neut->an,5.62,6.809887,6.7160835,6.504944,7.4733877,6.638818,6.2715025,6.5947437,6.4752984,6.1101894,6.1342087,6.2811832,7.543766,6.713664,6.957964,6.316992,5.926103,6.2955456,6.357362,5.6110883,6.063565,6.889098,7.012148,6.4061003,5.925892,7.465699,5.3917804,5.9230466,5.6949587,6.937106,6.4354041455586755
86,sm7-44_neut->an,6.34,8.624405,7.312223,8.675428,8.580989,7.448328,6.987713,8.453478,8.41514,7.6987333,7.5381126,9.309255,7.956736,7.903144,8.188159,8.010094,7.513977,7.6279345,8.228938,8.047135,8.163819,7.825742,7.8141947,7.717434,7.7266326,7.8657274,7.620674,7.6988072,7.994881,8.00832,7.909871811548869
87,sm7-45_neut->an,5.93,7.286864,6.558909,7.3954573,8.087992,6.839221,6.7128057,7.532821,8.648982,6.575927,6.9129124,7.6953516,7.7918587,7.3093076,7.1043463,7.020907,6.8568096,6.9056187,7.6071477,6.1669803,7.1828794,7.941596,7.237837,7.404734,7.167443,8.382709,6.0182724,7.1986837,7.2007084,8.103329,7.225946972529093
88,sm7-46_neut->an,6.42,7.5893264,7.5581193,8.130546,8.20144,8.12233,7.1320934,7.457431,8.101488,7.815157,7.142458,8.016361,8.275359,7.7305536,7.835848,7.7509956,7.404481,7.8668165,7.6818,7.241527,7.141294,7.9628367,8.340297,7.6502476,7.3792944,8.539648,7.422125,7.8289003,7.3990064,8.478307,7.720536197662354
89,sm8-1_neut->an,3.99,3.9956918,4.4321976,4.200273,4.3337836,4.6428514,3.3080702,4.0311327,3.9580796,4.2840357,3.930698,4.4850283,3.9989529,4.7037945,4.511301,4.2107925,3.750424,4.336901,4.0546656,3.9848046,3.646782,4.076684,4.8880644,4.116149,4.013824,4.2765646,3.9102826,4.67943,4.615263,4.819299,4.206194018999736
90,sm8-2_neut->an,4.5,5.0190682,4.008266,5.654643,5.3826685,4.9634814,5.0207577,4.6371,5.116405,5.1509314,4.0426908,5.405402,5.0253153,5.1365395,5.4388833,4.567254,4.8583074,4.329465,4.67919,5.1925416,5.7554216,5.0662074,4.7740183,4.7252607,4.8329806,5.0312057,4.698353,4.737293,5.0994024,5.429595,4.942621596654257
91,sm8-3_neut->an,4.0,3.5132036,3.8946376,3.1985774,4.0180078,3.765685,3.9313045,3.2366848,3.0473828,3.4181423,3.5377684,3.4956732,3.7667146,4.5539865,3.519888,3.762354,3.6802616,3.534082,3.2840738,3.4865408,3.774795,3.7077498,4.4917974,3.9422286,3.896334,3.5144422,3.2728705,3.5104165,3.3472652,3.792352,3.6631739934285483
92,sm8-4_neut->an,5.77,4.447233,3.6370277,4.853021,5.5790496,4.1321163,4.076641,4.773959,4.124145,3.8496675,3.8028727,4.661282,5.425429,4.3943386,5.2786036,4.3631372,4.0707417,4.293172,4.5975137,3.9510183,4.605604,4.0112734,4.326808,4.241295,4.339324,4.0121946,3.459046,4.0455003,5.195569,4.1377926,4.415179205576578
93,sm8-5_neut->an,4.23,4.6096277,4.636002,4.0522304,4.4011207,3.888812,3.3173828,4.9084134,3.9930456,4.8023787,4.5301347,4.416633,3.9769573,4.131985,4.735593,4.821911,3.2151203,4.1731367,3.5115464,4.766474,4.8562946,3.7888384,4.132951,4.0738945,4.0055566,3.5877266,3.1619778,4.2433853,4.8530893,4.63394,4.215205287297567
94,sm8-6_neut->an,4.17,4.7273574,3.704606,3.0860233,3.9581141,4.5147676,4.0980425,4.4445925,3.8520663,4.1451206,3.2359905,3.3384447,3.588357,4.9371343,4.3451815,3.6088881,4.5180464,3.794013,4.291897,3.808072,3.5627518,3.8209925,4.5350904,4.10963,4.4000964,4.2082157,3.7225175,3.5809298,3.4997787,4.031222,3.9879313205083213
95,sm8-7_cation->neut,6.63,6.385414,6.1840253,6.3908396,5.98847,6.2762985,7.1993823,6.611736,6.425178,6.889861,6.009152,6.5926056,5.901223,6.3265414,6.6866403,6.626355,7.253118,6.566474,6.401913,6.261693,6.6772943,5.882942,6.0032606,6.5132313,6.962215,6.8070683,6.156059,7.1662493,7.288101,7.148144,6.540382842381795
96,sm8-8_cation->neut,2.78,1.7123117,0.5575948,1.7475977,1.4702935,2.0282993,1.2740812,1.7495365,2.0822713,2.776118,0.74931383,1.4200764,1.2700591,2.3700895,2.2533274,2.4574952,0.69852114,2.0039496,2.2183857,2.8890736,2.6510816,1.4126034,1.9358683,2.2312937,1.4650106,1.9980006,2.5953104,2.940969,2.4847817,2.8169012,1.9680072078704833
97,sm8-9_cation->neut,6.08,6.6637306,6.480451,6.848213,6.0770955,6.2421703,7.5596166,6.417312,6.9107766,6.968695,6.348952,7.1222367,6.271389,6.2584486,7.0375113,6.1622505,7.2076416,6.367913,6.4183264,6.8684216,7.306593,5.877594,6.31495,6.979141,6.9222584,6.992731,6.7787294,6.8139677,7.0944347,6.980898,6.679081633249918
98,sm8-10_cation->neut,7.71,7.2637763,8.0622635,6.584234,8.502908,7.1742554,7.499157,6.6559668,7.4131465,7.358133,8.370112,6.246331,7.712292,7.6037426,8.553833,8.732829,6.2997932,8.221436,7.7367578,8.176075,6.868935,7.8329916,7.103891,8.245302,7.168842,7.04989,7.9182205,7.909464,9.080228,8.385239,7.648001494725546
99,sm8-12_cation->neut,6.98,6.7414203,6.8345838,7.252515,7.0680904,6.716877,8.026972,6.7555428,7.213592,7.5619926,6.9382553,6.928936,7.191888,6.4759984,7.376256,6.9129214,7.2417874,6.737542,6.730697,7.2358103,7.0593095,6.953536,6.278719,7.1171207,7.134713,7.2762175,6.988187,7.2585907,7.243521,7.397692,7.054309478759766
100,sm8-14_cation->neut,7.27,6.76839,6.4292197,7.3924494,6.9288025,6.595039,7.666939,6.7665467,7.489067,6.90889,6.8108997,7.615431,6.0244517,6.4224105,7.0710974,6.202158,7.399644,6.6026816,6.917487,6.7128057,8.104111,6.7780886,6.390814,6.4989614,7.0030913,7.354663,6.5950556,6.435075,6.191979,6.559611,6.863528617858886
101,sm8-15_cation->neut,2.54,1.7988634,1.6698084,2.4191523,1.7696838,2.264604,1.9586706,2.1741269,1.9323502,1.8233385,1.6185231,2.71928,1.2841234,2.4863513,2.1340404,1.654566,1.7925282,2.0786977,2.2884462,2.0174105,2.2205367,1.9747643,1.8500462,2.3964593,1.966883,1.9945354,2.0597928,2.0594175,1.6242499,1.9798932,2.018371440251668
102,sm8-16_cation->neut,5.1,5.4583244,5.832282,5.7653203,5.7538886,5.1706047,5.8148127,5.5721445,5.621625,5.3895154,5.66802,5.4771557,5.552375,5.174121,5.4948273,5.4835734,5.962224,5.519135,4.7823653,5.80274,5.878559,5.4792957,4.9384027,4.717615,5.857599,5.3482447,5.3747067,5.4700384,5.673887,5.217326,5.478357604344685
103,sm8-17_cation->neut,6.58,7.135092,7.48703,7.587851,7.323544,7.5187383,7.818694,7.0154905,7.52735,7.0403748,7.279207,7.7146325,7.363453,7.243718,7.1586556,6.564916,7.484201,7.6490936,7.224799,7.245034,7.730901,7.177381,7.523265,6.981682,7.671814,8.06318,7.118905,7.4871845,7.2232227,7.3686714,7.343602707544962
104,sm8-18_cation->neut,2.72,1.7554502,1.4558773,2.5544093,1.1961832,2.0009055,1.6459384,1.6231518,1.746949,1.7040303,1.5339441,2.9338439,1.5161552,2.0851152,2.2469106,2.524127,1.7985282,1.9263451,2.5078182,1.7225211,2.6276174,1.4425554,2.537552,1.485692,1.8552036,1.9584875,2.000315,2.6029396,1.3397851,2.3146896,1.9787680298487345
105,sm8-19_cation->neut,4.93,5.105102,5.163325,6.545399,5.3829446,5.73547,5.23793,5.267124,4.566705,4.250333,4.48029,6.6071987,5.33449,5.664082,5.565179,4.7994204,6.6708193,4.474261,4.386943,4.9083815,6.72949,6.0180674,6.0039034,5.2120776,2.8148065,4.4598665,5.97156,3.9298434,3.7221751,4.3677435,5.143497663497925
106,sm8-19_neut->an,6.99,6.9244194,7.1217947,7.040869,7.238639,6.9315996,6.3419743,6.5123873,6.907783,6.7432184,7.64816,6.9611244,7.1485057,7.1213274,7.3615875,6.9733706,6.8758183,7.911873,6.9954643,7.0226307,7.7880826,7.5173855,7.525649,6.377486,7.0124817,7.5270486,6.7920294,7.5534945,7.0895576,7.075758,7.101050654729208
107,sm8-20_cation->neut,2.44,3.005466,1.875978,2.7705078,1.7835717,2.9608514,2.624958,2.712362,2.9872448,2.5482328,2.1916666,2.7839339,1.4987693,2.6161127,2.7857757,2.6203995,2.9221077,2.5855088,2.2882235,2.441366,2.697261,2.0813298,2.6659937,2.5852654,2.7487073,2.3950138,2.5828927,2.1270533,2.0703595,2.913239,2.510338391939799
108,sm8-20_neut->an,11.44,11.86997,12.650867,12.780783,12.001333,12.407127,11.762926,12.385706,13.0731735,12.242676,12.165913,13.472955,12.947603,12.9301815,12.843444,12.596734,12.501717,12.819862,12.745932,13.183449,12.880241,12.725502,12.517593,12.361773,12.264256,12.4550085,12.473799,12.387815,12.433727,12.935322,12.541912951151529
109,sm8-21_cation->neut,5.38,4.694437,5.3125153,6.759081,5.6427093,5.637582,6.131929,5.073945,5.730864,5.751171,5.3713646,6.469905,5.5189667,5.824607,4.92624,5.229748,5.8984885,5.252695,5.2702456,5.5406017,6.379138,5.074964,5.4169655,4.8761797,6.0016403,5.295012,5.2509394,5.255037,5.3488073,4.833112,5.5049629968007405
110,sm8-22_cation->neut,2.57,2.6329203,2.33636,2.9365008,2.4567413,2.581323,3.8161206,2.8242645,3.665143,2.240627,2.4193912,3.4043312,2.5572734,3.1596944,2.2811708,2.6522994,3.5296726,2.7517972,2.864384,1.8957186,2.8395386,2.7456338,2.7218761,2.901916,3.0278955,2.7559233,1.7720256,2.307963,3.4051998,1.7912836,2.7281662804285682
111,sm8-23_cation->neut,2.65,3.0534272,1.2816038,2.416215,2.6410408,2.6630552,3.1086488,2.6458533,2.6712809,3.1509373,1.5157752,3.4535506,2.0113978,3.0268478,2.9039073,3.085681,2.6687562,2.4158063,2.3363504,3.420546,2.442932,2.695355,2.965639,1.863697,2.2745738,2.9131289,3.6195016,2.7762318,2.0501344,2.7855744,2.6502482938766483
112,sm8-23_neut->an,9.02,9.835804,9.236188,9.944815,10.54338,10.455158,9.034754,10.088947,9.359425,9.714167,9.273516,10.692847,10.123766,10.427766,9.790712,10.057833,9.274219,9.268864,9.122487,9.276012,11.3206,10.473806,10.144209,8.818356,9.463923,9.08902,8.741808,9.8636675,9.497223,10.291869,9.741504653930663
