,compn,exp. pKa,pKa predicted by models:8-9,pKa predicted by models:5-2,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:6-0,pKa predicted by models:8-4,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:6-1,pKa predicted by models:7-0,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:8-1,consensus,std. dev.
50,sm6-13_cation->neut,5.77,5.8995376,5.217579,5.838633,6.0882816,5.4958773,6.2858706,5.988122,6.1635885,5.763385,6.4812584,5.490326,6.3713865,5.5788326,6.0528307,5.6768956,5.3991265,5.4544153,6.439788,5.918358,5.2978673,5.0326757,5.2413483,5.618428,6.2996798,5.743386,5.1468954,5.9691896,6.488474,5.358289,5.5481634,5.9339023,4.906702,5.6034327,6.1478744,5.250987,5.310992,5.3770065,5.7142606,5.4413753,6.137278,5.730299961741377,0.4138515984512989
51,sm6-14_2cation->cation,2.58,3.2317293,3.1115332,2.9308534,3.0917127,3.1858702,2.8791158,2.8992236,3.5165577,2.9796476,2.3673902,3.5017352,3.0173078,3.2670746,2.7567506,3.061371,2.9987729,3.2736044,2.8610055,2.794233,2.9883623,3.2758636,2.7522962,3.2451694,2.9255033,3.19764,3.8109279,2.5481105,2.0581162,3.4690528,2.8696423,2.3489366,2.848853,3.2530448,2.9187717,3.0440738,2.3266315,2.75954,2.1840887,3.0876226,2.6367154,2.947669548639437,0.3648326081917184
52,sm6-14_cation->neut,5.3,6.087769,5.5770044,5.375646,6.1071167,6.0116544,5.6266494,5.469804,6.0027776,5.718364,4.4062176,5.3163195,6.023655,5.6881056,6.063841,6.0013924,5.8261924,5.76264,6.394804,6.051544,5.466868,5.4662886,5.8538446,5.562468,6.2148714,5.255286,5.9346285,5.2937574,4.7812567,5.9574165,5.723324,4.922227,5.931789,6.1283584,5.7279325,5.7664413,5.6189795,5.581687,5.802055,5.8941674,5.110526,5.678187051633509,0.4014826986406023
53,sm6-15_cation->neut,4.7,5.741352,4.9291515,4.77543,5.5366707,4.800208,4.615828,4.8196764,5.1540475,5.1084423,4.1901836,4.406022,5.4173098,4.5819798,4.67809,5.0715475,5.176507,5.0349617,5.976685,5.5964847,4.466549,4.39084,5.1224504,5.1503067,5.2341924,4.943693,5.2079773,4.34165,4.871205,4.626519,4.4365854,4.0138354,4.744728,5.531571,5.0118318,4.5963793,4.4084415,5.0530405,4.869025,4.6952047,4.2754416,4.885415744781493,0.4328334243329915
54,sm6-15_neut->an,8.94,9.958882,9.401849,9.063922,10.344618,9.461597,9.862754,9.726818,8.880924,9.009926,8.447867,9.090101,10.717878,9.293391,9.270471,9.502173,9.291606,9.346363,8.336803,9.47909,9.247259,8.5831,8.834114,9.257803,9.323404,9.481819,9.020786,9.726443,8.182908,8.462957,9.000145,9.066372,9.414452,9.273289,8.290655,8.667269,8.569912,9.223204,9.524986,8.395502,8.605932,9.160471879912585,0.5395650335946155
55,sm6-16_cation->neut,5.37,5.4021854,4.727119,5.0837383,5.055658,5.237005,5.063846,4.5529547,5.7614512,5.2726936,4.957863,5.1872272,5.5116825,5.389469,4.970271,4.6781344,5.1292844,5.369697,5.644197,5.281381,5.0017247,5.3055496,4.735438,4.857378,4.8159423,5.886955,5.6568146,4.773201,4.925862,5.505142,4.6826553,5.058017,4.389811,5.4486036,4.967575,5.0090294,4.9112034,4.357315,4.318175,4.872381,4.858911,5.072769319022574,0.37060651371911385
56,sm6-16_neut->an,10.65,12.305405,11.510696,11.845479,12.119544,11.785242,11.869864,11.960181,10.944785,11.438889,11.526472,11.375383,11.571585,11.938313,11.873664,11.762676,12.11348,11.6354475,12.402369,11.912996,11.890966,11.610144,11.472139,11.325488,11.725223,11.860065,11.599914,11.841833,12.432967,10.560642,12.237558,11.505579,11.283534,11.387939,12.254103,10.991818,11.741828,11.065876,11.330496,13.381062,11.843051,11.704504789957186,0.5017453938289609
57,sm6-17_cation->neut,3.16,4.879947,3.5170424,3.8805902,4.446144,3.6992755,4.1609674,2.86476,4.5691943,3.7841315,3.6003025,4.00144,4.886655,3.7016666,3.2855995,3.42095,4.207132,4.181172,3.9467359,4.1986136,3.8431592,4.154243,4.1280327,3.320236,3.6872573,4.395441,4.1412697,3.4431627,3.2755358,4.126093,3.2973561,3.7280118,3.133629,4.5003633,3.515499,3.402661,3.556908,3.369934,3.6070752,3.665766,4.0340266,3.822389751759971,0.47059859983323576
58,sm6-18_cation->neut,2.15,3.2554288,2.3865323,2.9227295,3.4400423,1.9333911,3.0758972,2.4342756,2.2537904,2.6070735,2.6432304,2.8672822,3.0509422,2.8339262,2.456194,2.914517,2.7090302,2.718082,2.4299774,2.9708915,2.0636663,2.6031055,2.1752086,2.6063044,3.2710419,2.1999707,2.6826122,1.7968149,3.1895268,1.9233787,2.6733847,2.9150772,2.63334,2.8270216,2.639658,2.1410048,2.711067,2.3728318,2.4249015,2.6739106,2.5539238,2.6129508402289416,0.3809362792653623
59,sm6-18_neut->an,9.58,7.682432,9.420665,10.19153,9.508337,9.892606,8.62498,9.305397,8.813194,10.853511,8.846539,10.105391,9.101635,9.602706,8.589933,9.054178,10.742386,9.515354,9.070654,8.767977,8.816991,8.766268,9.365241,9.747157,7.9667134,11.259699,9.231007,8.636501,9.229279,9.412946,8.892858,8.507665,8.975065,10.16074,9.442043,9.043891,9.966203,9.001131,9.283109,8.870064,8.807667,9.284186353450869,0.7070505376062365
60,sm6-18_an->2an,11.02,11.301518,9.305232,11.997578,10.063684,10.935862,10.971709,10.767433,10.390689,11.847073,10.215252,10.783085,10.774517,10.488447,11.367242,9.554535,11.769447,11.288195,11.191352,10.310222,10.692186,10.342274,11.561045,9.9517,10.52882,12.443491,10.704582,10.332468,10.487875,10.746802,11.284304,10.34147,11.976764,11.70216,10.878937,10.557089,11.545092,11.821428,11.801489,10.836737,11.367074,10.932850175252774,0.6850232668452747
61,sm6-19me_neut->an,9.56,8.977554,9.300961,8.462858,9.620508,9.322894,8.671916,9.118911,8.919733,9.2290745,9.668763,9.6554,9.285364,9.379848,8.906969,8.773546,9.338662,9.160664,9.958939,9.173855,8.887981,8.775857,7.7959423,8.952688,8.605116,9.243378,9.314234,9.399037,9.154158,9.173328,9.469256,8.203679,7.6284704,9.588451,9.887462,8.756107,9.76387,8.14725,8.022083,10.100448,9.459784,9.093048783279047,0.5613753552932184
62,sm6-20_neut->an,5.7,6.2011766,5.4361544,6.2545843,5.360282,4.936347,5.3157687,5.728832,5.068017,6.6645017,6.505189,5.4991336,6.969145,5.744331,6.3114414,6.2699776,6.1946044,6.1879764,6.1554227,5.548417,5.9820614,5.567418,6.795822,5.5445576,4.9844913,6.4605145,6.526477,5.9697104,6.0666847,6.1385508,6.7769976,5.3661747,5.835647,7.021493,6.600287,5.822543,7.3831463,6.736307,6.592168,5.7916365,6.2295847,6.054721313569604,0.5782188802005117
63,sm6-21_cation->neut,4.1,4.114517,3.4866292,4.0716286,4.3497934,4.2743793,3.829257,4.586273,4.3918276,3.874,3.8683043,3.5842934,4.2446213,3.990443,3.6523197,5.18756,4.028622,4.193555,4.3418303,3.904389,3.9942188,4.322882,3.9519968,5.8270116,3.6182237,3.7745624,4.510295,3.7471309,4.11491,3.7405596,2.983821,3.7634132,4.5998373,4.306468,3.8459773,3.3862474,2.6654387,4.136203,4.383958,3.503449,3.7385004,4.024130416497951,0.5227525285715712
64,sm6-22_cation->neut,2.4,3.4626465,2.5772343,1.143228,2.8899305,3.986444,4.519419,2.893279,3.0540118,2.2064943,2.8931358,2.9129145,3.121849,3.0110264,4.780412,2.729432,1.9373941,3.149659,3.4313564,2.934249,1.5876527,2.9017022,3.0849025,3.1766582,5.049809,2.4430652,3.831302,2.6947215,3.1112235,2.341198,2.191844,4.342344,2.9888942,4.264823,3.8929462,1.9402971,2.725458,2.9424195,3.2019963,3.1897504,2.819923,3.0428547835931545,0.8059280539291264
65,sm6-22_neut->an,7.43,7.0423517,6.877281,6.8025384,7.0430613,7.743837,8.077619,7.0519257,7.4802337,7.4654655,9.030447,7.436549,7.1582284,8.144238,7.9510326,7.509661,7.5581617,7.5661216,8.794392,7.2382817,7.5005035,7.957793,8.064713,7.550548,7.9360437,7.566219,8.208712,7.6076055,9.458819,7.1894865,7.5510864,7.8140917,8.397258,8.44648,8.867118,7.2203927,7.604617,8.130012,7.942857,8.058504,7.8374815,7.763701629173465,0.5807281878301743
66,sm6-23me_cation->neut,5.45,5.999855,5.4394913,6.591883,6.5998974,5.2595057,5.817121,6.0570865,4.7404513,6.6347504,6.4993987,5.633173,6.5562997,4.844819,5.5015583,6.3061585,6.8107276,5.134701,6.603448,6.2454314,5.1185207,4.73711,6.298648,5.835542,6.4168134,6.540121,4.3789706,5.5298915,6.711501,5.664527,6.6103945,5.564166,5.72874,7.5919647,7.1161466,5.311911,7.599041,5.829865,5.2683363,6.7521615,6.0324388,5.984452880301126,0.7504578058608363
67,sm6-24_cation->neut,2.6,2.5677757,3.1521904,3.3044648,4.0924788,3.4271355,3.2783253,3.4115605,3.2623086,4.0770807,3.3427799,3.114911,3.3182244,3.1360965,3.158409,3.5661378,3.3110838,3.2627716,3.179265,3.1751623,3.6571264,3.0367575,2.8311076,3.4161372,2.8296514,3.9612947,2.9493291,2.7986126,3.6514108,2.9697857,2.8228617,2.5873537,2.5841699,3.5243616,3.288396,2.4952145,2.9385118,2.992955,2.900597,3.6522093,4.045166,3.211491982529803,0.4096562740088359
68,sm7-25_neut->an,4.49,3.7181683,5.458418,4.62371,4.251026,4.7438135,5.031658,4.796919,4.6976852,4.474682,4.532305,4.346738,4.031516,5.462859,5.125847,5.8213916,4.7213,4.580961,4.5871134,4.791552,5.124346,4.8477874,4.0932503,5.5746155,4.9046674,5.2853146,4.6132603,5.210695,4.581896,4.2707286,4.032388,4.623533,4.857529,4.3147635,3.9281995,4.6319733,4.5555654,4.7525682,4.6718745,4.4980917,4.512832,4.687159561296789,0.44512825782074916
69,sm7-26_neut->an,4.91,5.191693,6.2167788,4.85743,6.113391,6.5784755,6.3784056,5.7591734,4.8979125,5.1127443,5.1701446,6.110054,5.2328677,6.4008045,6.489808,6.6551228,5.853264,5.017481,5.621407,6.032419,6.085499,5.483821,5.2601266,6.784682,6.2304263,5.3765216,5.427948,5.854549,5.0625787,5.7798386,4.6772385,5.5896916,5.601239,5.4186916,4.9450507,5.2045755,4.8035316,6.048875,5.7143955,5.839526,5.4181533,5.639178907813095,0.559868207789636
70,sm7-27_neut->an,10.45,11.556642,11.342952,11.418106,12.413624,13.112034,10.492563,10.785696,10.391653,10.843383,10.928532,11.034908,12.044929,12.679628,10.576527,11.500338,11.309456,11.294691,12.058777,10.994521,12.371499,10.999848,10.606581,12.000068,10.62136,11.027141,10.627176,13.169943,11.5729065,11.193203,11.466345,10.454959,11.251635,11.111034,12.332323,10.80442,10.74193,11.00386,11.080801,10.990345,11.370445,11.317726372509467,0.7085328425564045
71,sm7-29_neut->an,10.05,12.353001,12.09044,11.821599,12.408255,12.354447,11.349859,12.294703,11.705275,11.421395,11.854364,11.680798,12.006189,12.134655,11.770569,12.060496,12.194395,11.32456,11.829065,12.278816,12.022181,10.873243,11.710734,11.687437,11.274775,11.520983,12.173564,12.606141,11.7397375,10.9103985,11.587938,10.940001,11.892611,11.700745,12.213644,11.067384,11.383398,11.71624,11.54095,11.734062,11.618128,11.729199381572444,0.49484475045898435
72,sm7-30_neut->an,10.29,10.551846,9.745502,9.080982,10.268797,11.021583,9.475311,9.4017315,9.222038,8.761572,9.579781,10.033255,10.573344,11.175958,10.120249,9.82852,8.914994,9.8352995,10.664338,10.532039,10.660348,10.218946,9.1692505,9.779289,9.471609,9.433689,9.236237,10.6145735,10.742265,9.349072,9.847057,9.7804165,10.617914,9.322689,10.991684,9.383984,9.385622,10.624153,10.458322,9.802376,10.274268,9.957095216890659,0.6265935753980155
73,sm7-31_neut->an,11.02,11.439484,9.711422,10.327381,10.830818,12.2727165,11.022203,10.331865,11.009905,9.673668,10.426617,10.365881,10.731684,11.984432,11.256292,9.8725605,10.873989,10.389506,10.288033,10.554529,11.715067,10.336422,9.698779,10.168149,10.936724,10.231981,11.149164,11.896011,10.501035,10.128776,10.621769,10.523573,10.296589,10.757394,11.830265,9.770388,9.87101,10.584116,10.964983,10.352085,10.337638,10.659875695763564,0.6404392513610178
74,sm7-32_neut->an,10.45,11.882566,10.978351,10.585129,11.265985,10.871303,11.108226,10.642945,10.751583,10.469095,11.507292,11.104068,11.119857,11.170501,11.244125,11.313721,10.31604,10.380255,10.576703,11.28302,11.439079,10.24722,10.687393,10.735146,11.405928,11.079522,10.29365,11.76614,10.327171,9.976382,10.98403,10.778063,11.296463,9.984179,10.853422,10.024595,10.794798,11.751191,11.621141,10.55636,10.547066,10.882187871235173,0.49527095735941434
75,sm7-34_neut->an,11.93,11.554385,9.828293,10.425746,11.999996,11.420044,11.841222,10.15295,9.057156,9.107399,10.390526,10.581498,12.196187,11.264496,11.640153,10.049032,10.826164,8.989029,10.051937,11.219264,11.585962,10.349995,10.5040245,9.925363,11.471754,10.579269,9.950163,11.355614,10.17811,10.601191,10.003639,11.062658,10.31827,9.340439,10.81196,9.741194,10.828323,10.785458,11.245579,10.929961,10.825695,10.656587756087141,0.8117518469482949
76,sm7-35_neut->an,9.87,11.461881,10.51311,10.323408,11.026381,10.457524,11.006982,10.73065,10.782055,10.084926,11.1264105,10.758071,10.929745,10.919142,10.928141,11.055941,10.561871,10.392045,11.0840025,10.97013,10.514738,10.314213,10.69219,10.363095,11.17333,10.509293,9.989496,11.164652,10.885362,10.229858,11.063194,10.605883,10.432308,10.248562,11.191259,9.440302,10.709173,10.904161,10.785455,10.605659,10.553258,10.667264755062941,0.4043649475793816
77,sm7-36_neut->an,9.8,8.738581,8.373395,8.728691,8.937352,9.105705,8.605136,8.436935,8.684866,8.833662,8.473097,8.766908,8.228117,9.19851,9.360867,9.221418,9.152929,8.985416,9.107907,8.757865,9.562773,8.134819,9.287731,8.722002,9.045509,9.588057,8.734756,9.38702,8.49008,7.946698,8.99527,9.131304,9.519791,8.868982,8.539728,8.237368,8.738844,9.506178,9.436326,8.889578,9.26721,8.915301992835069,0.4304012970694042
78,sm7-37_neut->an,10.33,10.071339,9.937563,10.37652,10.9471655,10.663328,11.120406,10.485719,9.882492,9.6594095,10.025185,11.176765,11.223364,10.402535,11.014311,10.381598,10.6208935,10.3598995,9.506265,10.2758255,10.58739,9.612118,9.497268,10.582117,10.151349,10.622298,9.903476,10.771516,9.464791,10.181795,10.260557,11.047729,9.074553,10.390901,10.866712,9.989954,10.034119,9.790672,10.325443,9.943455,10.221241,10.28731795241193,0.504543084015291
79,sm7-38_neut->an,9.44,10.229946,9.758152,9.562729,10.806952,9.952056,9.767718,9.912844,9.937319,8.906337,10.420137,10.316686,10.474024,9.710846,10.009798,10.483715,9.182486,9.90452,10.434464,9.7764015,9.600004,9.233154,10.2689495,9.469875,10.169773,9.918534,9.929808,11.0332365,10.064769,9.801937,9.364286,10.11652,10.132589,9.669591,9.972011,9.23812,9.799765,10.14029,9.821708,9.659512,9.8269005,9.907767399113352,0.4286620886800372
80,sm7-39_neut->an,10.22,8.869982,8.820302,9.101755,8.336174,9.064228,9.449892,9.393703,8.918352,8.283215,9.261497,9.410277,9.353467,9.535412,9.891979,9.058968,8.650116,8.846905,8.359174,8.913443,9.880478,8.753503,8.28135,9.079668,9.509001,9.7639265,8.991082,10.210812,9.115803,8.723262,8.354729,9.883146,8.753003,8.778053,9.112562,8.812161,7.706721,9.09291,8.799513,7.810357,8.158102,9.007536148908663,0.5809429791253156
81,sm7-40_neut->an,9.58,10.896555,9.689106,9.343237,10.331351,11.141867,10.626183,10.35624,10.461036,9.221374,11.162533,9.797886,11.047228,11.003327,11.090055,10.482211,9.856163,10.498413,11.29484,11.00063,11.162517,10.064013,9.405195,9.573103,11.3247595,10.029161,10.907445,11.327281,10.843366,9.254516,9.0564785,10.753892,9.862938,10.375623,11.109217,9.282604,9.217371,10.5049305,9.756556,9.046812,9.576643,10.275967181135968,0.7304890593898301
82,sm7-41_neut->an,5.22,5.893247,6.4829254,6.021974,5.567704,6.184825,6.8163033,6.306134,5.500022,5.7713027,5.874538,6.757645,5.8843713,5.862507,6.727201,5.8141174,5.878601,5.628691,7.0679884,5.6686053,6.3381643,5.7963243,6.2814655,6.295358,6.2532625,5.89663,5.3877263,6.145712,6.123638,5.387579,5.4886837,6.9040813,6.5046186,6.008607,6.6480255,5.4430113,5.492876,5.5887556,5.8558903,6.6451406,6.448018,6.045421256553836,0.46727052954361564
83,sm7-42_neut->an,6.62,5.333082,5.3627987,6.094475,5.0979815,5.5613666,6.139588,5.5367064,5.0850286,4.9385557,5.9676466,5.182231,5.313766,5.199872,6.6134734,5.6660576,5.729639,5.148931,6.8067746,5.240694,4.7266355,5.422361,5.2049007,5.9373884,7.18766,6.5526314,5.5801096,5.4866905,5.846157,4.5450125,4.7578373,6.258628,6.1331434,5.228847,5.8497868,5.0582523,5.818797,5.667801,5.2109394,5.991699,5.541107,5.625489098153463,0.5840762804273052
84,sm7-43_neut->an,5.62,5.7655115,6.3933644,6.031708,6.080982,7.3797827,6.67581,6.7540255,5.762336,6.1166935,6.1832247,5.4665556,5.9079375,6.6708302,6.727022,6.307295,6.165057,5.8292828,7.2154765,5.457303,7.01101,5.230785,5.8967614,6.5489197,6.8844137,6.8531137,6.355966,6.780612,6.067686,5.658843,5.4348736,6.623022,6.9726925,6.0196657,7.378454,5.3941493,6.2106423,6.8571754,6.5822473,6.181576,6.0711446,6.281071979708788,0.5569939423979252
85,sm7-44_neut->an,6.34,8.484384,8.693275,7.5329633,9.522407,7.8412724,7.803272,8.194436,7.7548027,7.6318474,8.264163,7.911829,8.46142,7.9022727,7.9018965,7.6018257,8.152501,7.8240037,8.176233,8.91003,7.881821,7.4520316,7.7571206,7.947828,8.410566,8.048988,7.8427515,8.252434,8.32793,7.23611,7.8675776,8.741478,8.449918,8.029666,8.756821,7.559531,8.08362,7.959526,8.148525,8.241617,8.289692,8.053424098782424,0.5085971008416511
86,sm7-45_neut->an,5.93,6.771501,7.2689295,7.1258245,7.505271,7.1821213,7.230576,6.874402,6.6711717,6.459389,7.518901,6.2787213,7.098334,7.4794087,7.1387157,7.027479,6.776638,7.2665415,8.280541,6.5821495,7.5297375,6.4392896,7.1895337,6.680114,7.3657084,8.046179,7.130429,7.144531,7.9879727,6.1361575,7.090001,7.4129014,7.696887,7.021033,8.435017,6.4720087,6.8404346,7.603291,7.1597147,6.9609194,6.912985,7.115157561883694,0.5326451373625576
87,sm7-46_neut->an,6.42,6.9871855,7.581233,7.140433,8.111255,7.9659123,7.693136,7.9797654,7.0558324,7.551948,7.6696777,7.0347776,7.507435,7.8538275,8.193277,7.960884,7.710895,7.1203966,8.574335,7.5164313,7.6890297,7.3188524,7.9737406,7.6332273,8.779686,7.6008687,7.7841525,7.3913054,7.5828867,6.6176195,7.206139,8.493517,8.219245,7.388063,9.383347,7.038309,7.9017944,8.657959,8.116819,7.9380083,7.960824,7.714732470628692,0.5764993493914307
88,sm8-1_neut->an,3.99,4.394972,4.0487223,3.9392486,4.486877,4.0160084,4.6918545,4.5417395,3.7373052,4.335099,4.0487943,3.9711113,3.663455,4.077649,4.886032,4.4055457,4.866882,3.9861856,4.2533474,3.736517,3.6118374,3.90554,4.6946173,4.1612253,3.9977741,4.567892,3.9063463,3.973588,4.31274,3.8447561,4.5893474,4.678377,4.8269057,3.7346816,4.388688,3.9148378,4.0240507,4.6895776,4.9310827,4.5029335,4.0929832,4.229929941223889,0.3692191182117857
89,sm8-2_neut->an,4.5,5.1659946,4.631445,4.032823,5.429131,5.048005,5.1551323,5.43308,4.8411694,4.3382244,4.6826096,5.189123,5.767596,5.060107,4.7889423,4.7221713,4.517644,4.823746,5.0273952,5.0084996,4.9619694,4.6834335,4.747682,4.601118,4.377312,4.318718,4.417803,4.900053,4.503154,5.5285892,5.075352,4.958705,5.459687,4.7628517,4.8235435,4.348097,5.216408,5.130569,4.6849732,5.3129253,4.944196,4.87609706273893,0.37426306227546885
90,sm8-3_neut->an,4.0,3.1444707,3.219914,3.5078096,3.4873943,3.7586808,4.560781,3.5146275,3.6881394,3.5173426,3.2656882,3.4679823,3.7710047,3.7157636,4.4858437,3.6117163,3.8964994,3.9139118,3.48373,2.7392206,3.0023594,3.257115,3.523843,3.3118622,3.5177302,3.874463,3.5389628,3.9587731,3.3616765,3.4325094,3.3897486,3.7012727,3.8054876,3.309125,3.708847,2.871224,4.1383753,3.2592275,2.8796015,3.8602126,3.8010445,3.567170276874449,0.38181314367644054
91,sm8-4_neut->an,5.77,5.066106,4.6009865,4.18329,5.287795,4.976843,4.7275696,4.9227595,4.2916803,4.4990053,4.4832177,4.0872707,5.4602985,4.107985,4.466078,4.8323674,4.834098,4.4907837,3.8824592,4.5780897,3.666625,3.6155868,3.7650976,4.513074,4.099152,4.323371,4.5687733,4.3414264,3.8369899,4.108468,5.0849447,4.014763,4.1453366,3.7590837,3.7575088,3.6417828,4.269756,3.8420672,3.7619743,4.610277,4.1938777,4.3772833759028735,0.5159369421776727
92,sm8-5_neut->an,4.23,4.09951,4.866136,4.51037,4.3888946,3.9760313,4.109856,4.6986814,3.2158031,4.1945424,3.4955914,4.77293,4.917352,3.7871375,4.14242,4.916032,4.9234734,3.9747953,3.5898228,4.0213037,3.8711233,3.1712947,4.2334657,4.597837,3.9752736,5.097461,3.834116,4.334081,3.2109642,3.2841501,4.877184,3.795146,4.6235676,3.9447575,4.22157,3.498406,3.849586,4.142482,4.1393275,4.492156,4.2595525,4.153272796956505,0.506198861563537
93,sm8-6_neut->an,4.17,3.3897958,4.4120207,3.2375565,3.37214,3.5965986,4.941326,4.3295813,4.5363374,3.8076754,4.3134623,3.811376,3.5829415,3.8274727,4.555191,4.11951,4.46484,4.406732,4.1943264,3.21244,3.543004,3.715467,3.5922399,4.6596317,3.9569468,4.0405116,4.13387,3.684235,4.2699447,3.8316536,3.503353,4.5632067,4.031989,3.5216308,3.7339616,3.6800566,3.9001923,4.3091364,3.7255132,3.7637138,3.8062744,3.9572647878600336,0.41343155673459114
94,sm8-7_cation->neut,6.63,6.9591503,6.6080847,6.0069146,6.587511,5.9239388,6.328599,6.6867433,7.2497635,6.556009,6.3981414,6.255825,6.661419,5.91062,5.999856,6.7050767,7.032295,6.968162,6.8039603,6.2901807,5.6464214,6.1485386,7.1820316,6.597325,6.2135615,5.9059124,7.043021,5.8700247,6.096546,6.1491485,7.2924356,6.1810627,7.1408386,7.615902,6.6619525,6.834249,7.0054684,7.178898,7.0642395,6.6350102,6.682257,6.578221830042397,0.4665485626133645
95,sm8-8_cation->neut,2.78,1.7744365,1.7367945,0.72949314,1.4369612,1.2570276,2.3840003,2.269051,0.6953006,1.983263,2.2537596,2.8881032,2.6711411,1.385613,1.9450254,2.010023,1.3665009,1.4655805,2.0273647,1.6221857,0.92461586,2.5886908,2.9400291,3.0476255,2.4871058,1.5539169,1.4466724,1.2355924,1.8507419,2.414198,2.5164099,1.9858618,2.8199425,1.1765585,2.5626822,3.0792887,1.6422567,2.822308,2.9168074,1.7859688,1.8008237,2.0068224879008967,0.6529568913242948
96,sm8-9_cation->neut,6.08,6.6862183,6.4154863,6.347321,7.1199474,6.2911816,6.2694535,7.030278,7.20531,6.3705792,6.4065237,6.8706264,7.2982674,5.8875513,6.3158703,6.568616,6.607281,6.9192667,6.9916997,6.9394736,5.799365,6.7693977,6.8068066,6.710853,6.339295,6.6052732,7.1521697,5.7903852,6.5280676,6.401557,7.1021028,6.36248,6.9743977,7.3243265,6.8418713,7.013341,7.0565176,6.983079,6.791669,6.972968,7.1067104,6.684233783628882,0.3984820683725248
97,sm8-10_cation->neut,7.71,6.752178,6.650077,8.370917,6.268532,7.7185717,7.598181,8.542126,6.3087435,8.224577,7.737698,8.173648,6.8876033,7.8293705,7.1021814,8.537049,8.515306,7.1604443,7.0499716,7.195648,7.8680663,7.918576,7.9049134,9.0609045,7.2220273,8.485811,6.729652,7.806135,7.0959034,8.421511,9.080907,6.655177,8.377668,8.748287,7.992465,8.290901,10.337757,7.417837,7.8196063,9.313928,9.015535,7.851131531319968,0.8712252080783451
98,sm8-12_cation->neut,6.98,7.1483827,6.7703977,6.9452233,6.9153233,7.1928434,6.4781513,7.373969,7.2372956,6.739349,6.726003,7.231781,7.055234,6.945313,6.2725916,8.024057,7.1305714,7.1334662,7.264224,6.769983,7.079323,6.9879417,7.260003,7.525937,6.537634,7.310301,7.1016464,6.7043743,7.335522,7.2696786,7.252677,6.6310663,7.401623,7.153039,7.0276117,7.18414,6.459137,7.212346,7.2134314,6.529455,7.397199,7.0465425975148275,0.33370781751828066
99,sm8-14_cation->neut,7.27,7.158751,6.7703285,6.813921,7.6212206,6.033104,6.4260483,7.065644,7.4022636,6.6011496,6.918644,6.711977,8.108778,6.7829866,6.38842,7.2357035,6.114928,7.000389,7.3576307,7.2466974,6.7479186,6.603757,6.428403,7.2044344,7.015041,6.363059,7.2383413,6.870649,7.296246,7.289272,6.188243,7.0596523,6.5691924,6.444177,7.0749097,6.7524405,6.1129923,6.96694,6.9681187,6.0271206,6.587435,6.849681133642429,0.4518726023454289
100,sm8-15_cation->neut,2.54,2.1572123,2.1822684,1.5956855,2.722489,1.2793441,2.4745047,2.136331,1.7825708,2.0554185,2.2938724,1.9996188,2.2195568,1.959517,1.8490496,1.4553833,1.7811332,1.9473743,1.999259,2.3195376,1.5652819,2.055171,2.0651722,2.2375774,1.6328368,2.500585,1.9924772,1.7316937,2.1140656,2.4218128,1.6066217,2.0654829,1.9853685,2.1257486,1.8669341,1.9669595,1.7871423,2.0024467,2.215034,1.8468852,2.0878556,2.015201930069342,0.2989819166673543
101,sm8-16_cation->neut,5.1,5.757365,5.5855107,5.6668925,5.465657,5.5592833,5.1518865,5.49495,5.9470024,5.510313,4.7746205,5.7996955,5.8582315,5.47651,4.925497,5.6005087,5.733807,5.855844,5.3436985,5.456071,5.413027,5.3729553,5.466872,5.9347634,4.974896,5.538847,5.8414736,5.5653667,5.6598086,5.1101985,5.6670084,4.7733307,5.2127147,5.9147143,5.002443,5.346381,5.0925198,4.961795,4.5665007,6.0091543,5.538059,5.4396627728532,0.3557712335502007
102,sm8-17_cation->neut,6.58,7.2667856,7.0193253,7.29694,7.7202435,7.355174,7.24612,7.1643343,7.471019,7.661186,7.2183514,7.242132,7.7285256,7.170511,7.5160666,7.1886334,8.566548,7.6678257,8.044133,7.5570617,6.8643165,7.119549,7.480318,7.183407,7.3982167,7.8761854,7.72025,7.238516,7.438792,7.3837495,7.223874,6.997876,7.3730536,7.6070824,7.9522743,7.604253,6.9779673,7.251088,6.930867,7.118697,7.46352,7.387433402829053,0.3529590884285274
