,compn,exp. pKa,pKa predicted by models:8-9,pKa predicted by models:5-2,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:9-2,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:9-3,pKa predicted by models:6-0,pKa predicted by models:9-9,pKa predicted by models:8-4,pKa predicted by models:9-8,pKa predicted by models:10-2,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:9-5,pKa predicted by models:10-3,pKa predicted by models:10-9,pKa predicted by models:6-1,pKa predicted by models:10-8,pKa predicted by models:11-2,pKa predicted by models:9-4,pKa predicted by models:11-4,pKa predicted by models:7-0,pKa predicted by models:9-7,pKa predicted by models:10-5,pKa predicted by models:11-3,pKa predicted by models:9-6,pKa predicted by models:11-9,pKa predicted by models:11-7,pKa predicted by models:11-8,pKa predicted by models:10-4,pKa predicted by models:11-6,pKa predicted by models:10-7,pKa predicted by models:11-5,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:10-6,pKa predicted by models:9-0,pKa predicted by models:8-1,pKa predicted by models:10-0,pKa predicted by models:9-1,pKa predicted by models:11-0,pKa predicted by models:10-1,pKa predicted by models:11-1,consensus,std. dev.
29,sm11-28_cation->neut,5.95,5.043384,5.505157,4.6085324,5.715349,5.2799463,5.841035,5.3269753,5.402602,5.5956573,5.759614,6.2791586,5.1178017,5.7250276,6.2912636,5.2755866,5.5269628,5.717613,5.85023,5.708381,5.4841413,6.543491,6.4075594,5.354268,6.402221,5.135863,5.9806724,5.932044,5.4761605,5.9332323,5.160297,5.219014,5.659816,6.276927,6.7537727,5.4923053,5.4907894,5.359472,5.548666,4.465492,6.341028,5.919898,5.300233,5.6782346,5.5141134,5.821293,4.952213,5.8943653,5.8428874,6.482076,5.0001216,5.663087,5.372392,6.4091334,4.559544,5.9181557,5.1003532,5.8379326,6.7821283,4.691573,6.389532,6.6478186,5.2626553,6.348236,6.617402,4.8928804,7.07292,4.713348,6.1800566,4.999815,4.562522,5.667104656595579,0.5904361935834094
30,sm11-29_neut->an,3.28,4.0125012,3.877242,3.3509145,3.5468159,3.6653638,3.4010372,3.9874706,3.2599692,3.5769835,3.6712737,3.547318,4.082819,3.8669043,3.3939838,3.5239701,3.9566374,3.4179492,3.1546588,3.4547138,3.590654,3.3185554,3.67284,3.3806925,3.1847625,3.6889296,3.3719177,3.8302622,3.095848,3.366211,3.788878,3.682747,2.9895673,3.9213018,3.6100402,3.8894744,2.89649,3.5741901,3.482492,3.590887,3.2532053,3.7781382,3.795176,3.896216,3.566208,3.8784342,4.007776,3.453514,3.5931644,3.393776,3.6990798,3.5050774,3.6685646,3.5648775,3.6755223,3.7436538,3.7256017,3.7105138,3.5284243,4.4639683,2.8535633,3.5721412,4.0905056,3.361712,3.834958,3.4087968,3.4845624,3.55996,3.537372,2.7965302,3.4408016,3.5746064928887598,0.29815948613710286
31,sm11-30_neut->an,7.89,8.187206,7.8335485,9.0799675,8.331196,8.998199,8.176042,8.477217,7.305001,9.281143,8.350761,9.062591,8.667587,7.9729943,8.397348,8.770769,9.16412,7.6259723,8.551632,8.382397,8.427867,7.8419647,7.4619207,8.381109,9.001352,9.434291,7.7680125,8.6733265,8.061774,7.6977615,8.62098,8.318666,8.088217,8.579038,8.336443,8.182942,7.8743615,7.7537775,8.868873,7.846986,8.007708,8.272551,9.251163,8.682118,8.4186735,8.139137,9.136825,7.872137,7.783581,7.9593563,8.152323,8.149499,9.356392,8.693247,7.7620096,8.080746,8.433051,7.8241825,7.749384,8.248846,8.384788,8.498764,7.917877,8.109538,8.721373,7.941636,8.459444,8.052617,8.147323,8.234872,8.521034,8.319542940435275,0.47388505970691047
32,sm11-31_neut->an,2.87,3.5941157,2.6351366,2.5647225,3.4895334,3.0637193,2.8721972,3.138741,2.1134586,3.0365186,3.1048818,2.55799,4.236053,3.272007,2.3738003,2.53047,3.1230464,2.9055681,2.8695107,2.9097838,2.7830424,2.3148336,3.6088033,2.5333395,2.3072538,2.855485,2.5018544,3.0771818,2.7248912,2.5351882,2.7387304,3.3284068,2.482449,3.1693316,3.215611,3.300427,2.9208403,3.5262966,2.4342885,3.034975,2.555078,2.9744048,2.7294865,3.3947544,2.7092175,3.379808,2.6489868,2.6156368,2.7458537,3.3005385,3.2209153,3.4116545,2.8363671,2.7491436,3.2485428,3.2437756,3.0071397,3.056604,2.6017084,3.7501848,2.7897887,2.9446344,2.9339037,2.6409774,3.1926477,2.851685,3.1131082,2.7614865,2.866002,2.7257166,2.4461079,2.930990737861311,0.37906092857399054
33,sm11-32_cation->neut,6.64,7.092383,8.166683,7.135251,7.853161,7.887884,7.292153,8.262997,7.8478627,7.8889704,8.195559,7.4537115,7.9987097,7.946357,7.1644387,8.10462,7.1780987,6.868955,7.5814185,6.5195146,7.7972255,7.858214,7.2324934,7.268502,7.543064,6.760836,7.9429736,7.4029193,8.0480795,7.654868,7.2020926,7.306609,7.481762,6.9183025,7.9162607,6.3524475,7.2508535,7.241917,7.1105523,7.708399,8.160034,7.7906246,6.7207675,6.644314,7.3817315,7.8870687,7.622494,7.5950985,7.2901926,7.6716046,7.7463675,7.31779,7.189897,7.9584427,7.122181,8.12248,8.077744,7.8019657,8.241358,7.7342815,6.8260684,7.773835,7.5820856,7.797264,7.8579507,7.080257,7.314312,7.2814455,7.623682,7.515848,8.081554,7.519547034518819,0.4543226605516053
34,sm11-33_cation->neut,6.79,7.2981014,6.5812,6.580533,7.5086393,6.2565603,6.662528,7.236023,6.5356665,6.9428997,6.721587,7.1691933,6.911394,6.462044,7.486481,6.959831,7.731365,6.1401043,7.555019,7.3963456,5.65076,7.3660717,6.9773455,7.2970753,7.30742,6.858169,6.7586775,6.6060243,7.162878,7.4707847,7.1749606,5.601227,6.998063,7.3239794,6.5443144,6.771954,7.0549216,6.1394196,7.352951,6.5363913,7.48294,7.0270114,6.578567,7.100989,6.5931244,6.0083055,7.3731356,6.3749065,6.6200867,6.6311493,6.5064983,6.650398,6.986054,7.8436084,6.2753534,7.1182594,6.2318587,6.5233407,7.9618683,6.6230297,6.9770207,6.634369,5.942052,7.8215218,7.308201,5.7047186,7.1334286,5.278235,6.5596375,5.5793667,6.168994,6.809815951333919,0.5694091701507322
35,sm11-34_neut->an,4.04,4.4339194,4.0762053,4.0245037,5.044259,3.9614778,4.127914,4.5764794,4.66344,4.1062336,4.2092485,4.643057,4.598402,4.240603,4.3490906,4.7562428,4.6544085,4.8996787,3.5100884,3.9704566,4.5818405,3.9234738,4.5836143,4.546749,4.5591016,4.662212,4.527524,4.6714115,3.9113338,4.254758,4.510504,4.4177675,4.154997,4.478821,4.2864246,4.3867006,4.3340898,4.2351327,4.787326,4.020513,3.9234114,4.8789854,4.183468,4.9209437,4.806919,4.429625,4.739929,5.282101,5.3545904,4.5003605,4.0435123,4.9491243,4.5689397,4.8345065,4.3363023,4.2031746,4.2820544,5.2471848,4.120173,4.3629503,4.166256,4.4662914,4.8540154,4.484787,4.569397,4.239117,4.759796,5.0464916,4.834762,5.026789,4.2184362,4.469780247513676,0.3638969462043827
36,sm11-35_cation->neut,6.3,6.835039,6.6270766,6.295743,6.6539097,7.0552025,6.2039175,6.5738697,7.295266,6.7540245,6.4590254,6.3714476,7.1493864,6.607324,6.1781387,6.816403,6.6941805,7.5558987,7.344967,6.425677,6.31099,6.4591446,6.3011246,6.7558684,6.312544,6.5938044,7.42542,6.351143,7.475672,6.0165434,7.029123,7.084876,6.412219,6.83099,6.865196,6.6427145,7.246488,6.265811,6.656169,7.055696,6.4359374,6.1023073,6.881338,7.2070084,6.5167985,6.208888,6.7356777,7.6492615,7.674547,6.404833,7.43404,6.213131,6.6388073,6.653937,7.021035,7.314947,6.0968843,7.276675,6.499957,7.187188,6.516898,6.016435,7.052411,6.806179,5.943575,6.7339897,6.241676,6.9031243,6.29902,6.737663,6.723377,6.710078592703376,0.4281808889570063
37,sm6-1_neut->an,9.53,11.090725,10.098873,9.525673,11.102533,10.382809,9.881443,10.425433,9.835516,9.7667885,9.878012,9.638895,11.569242,9.926373,9.836024,10.572536,9.720953,10.073121,9.797694,10.209978,10.128697,9.219676,9.997197,9.7092705,9.614772,10.399363,9.943558,10.160686,9.693337,9.085349,9.898657,9.646356,9.745298,9.863873,10.5731325,10.985261,10.074657,10.037678,9.810057,9.934906,9.102031,9.660076,10.249118,11.084618,9.440413,10.087716,10.411891,10.089267,9.930782,9.996037,9.626558,9.706585,9.997902,9.020946,10.343234,9.854208,9.856814,10.596343,9.111641,10.037421,9.374086,10.11771,9.4977865,8.98737,10.452844,9.406716,9.828199,9.9635315,9.60259,9.221571,9.358272,9.935192649196571,0.5072022022311314
38,sm6-2_cation->neut,5.03,5.6657653,4.7786436,5.6250725,5.8576393,5.4512434,5.2280025,5.0238976,5.514924,4.4502354,4.825214,5.1580057,5.8629026,5.285305,4.602563,5.0105295,5.5447617,5.2551394,5.3690023,5.4167175,5.08856,4.635697,6.020747,5.1526327,4.712679,5.991477,5.339259,4.4513907,4.930134,4.65425,4.914523,5.042677,4.6309195,5.4543266,5.8407145,5.50131,5.731336,4.946558,4.8487234,4.670779,4.7986097,4.7228904,4.7060194,5.390898,4.243407,4.9489403,5.5279894,5.5758,5.804473,6.028495,4.680813,4.8316126,5.54194,5.9003,5.754091,4.6525917,4.729972,5.1175265,4.6898236,5.3804092,4.4747143,6.1162386,4.781594,4.3023615,6.1244106,5.064722,6.200472,5.9421,5.7050786,5.2456503,5.3111963,5.208583063206202,0.4987609351770112
39,sm6-3_neut->an,7.02,6.6301255,6.3983927,7.3868933,7.4461994,6.261045,7.3965673,7.4279666,6.3329167,7.8878393,6.825026,6.133515,7.288323,6.2024446,7.5126057,7.136032,7.8706975,7.4289184,7.839303,7.067314,6.5833445,6.466921,6.607925,8.085415,7.544142,8.102106,7.4580736,6.7478094,7.354248,6.8374233,7.95834,6.594351,7.5439405,7.9726777,5.865948,6.7333345,6.962036,6.3321424,7.646969,6.829457,6.093665,6.858018,8.72946,7.376676,6.964511,6.721168,7.245066,7.1152735,7.068218,6.8430843,7.4211445,7.163377,8.471769,6.4870214,6.933283,7.6316338,6.450869,7.332137,6.1625786,7.6385083,6.9914575,6.5283937,7.4626236,6.4646764,6.882097,6.8057137,6.5329285,6.979067,6.7183175,6.3464146,7.0245695,7.058626040875072,0.5895053014536397
40,sm6-4_cation->neut,6.02,6.2243094,5.762931,5.7763724,6.38228,6.3363547,6.0338693,6.2182336,6.4439363,5.769105,6.3773437,6.028046,6.816537,6.3113203,5.5735826,5.976781,6.7053146,6.3097143,6.906053,6.6283317,6.325143,5.8137717,6.055913,6.8832173,5.6093054,6.6197424,6.153476,5.5544987,6.5381784,6.120493,6.137141,5.975997,5.556057,6.2637506,6.4891253,6.5883822,6.700362,6.242863,5.812612,6.2655597,5.7394733,5.5471854,5.8585,6.643783,5.223899,6.2542315,6.2566147,6.60856,6.659318,5.9403296,6.066411,5.75953,6.577821,6.5653567,6.9759026,6.1499033,6.0594983,6.3541737,5.9295278,6.313993,5.507459,6.357932,5.81336,5.900698,5.8282366,6.3606257,6.3956003,6.6662,5.3741393,6.476718,6.6146197,6.184304311510543,0.3946652390636592
41,sm6-5_cation->neut,4.59,3.0813184,3.2961025,3.8686094,3.714693,3.903957,4.3248234,4.177139,4.1790123,4.3365726,4.1015954,3.4598987,3.6982324,3.8697226,3.7336586,2.9310398,3.871317,3.559279,3.95184,3.1465588,4.1176167,3.129315,3.4557447,3.7852387,2.9570808,4.177152,3.5543315,4.152314,3.4626756,3.2287266,4.2654886,4.778054,3.5302813,3.7186904,4.0494576,3.3111005,3.5986829,4.1260834,4.259328,3.5863872,3.2221916,3.5197618,3.557375,3.6585875,4.631837,3.6926856,3.4214072,4.3962665,3.8625665,4.3352513,3.8622193,3.4125304,4.262348,3.6027286,3.0769925,4.010004,3.4162788,3.4470937,3.076839,3.4051902,3.1173773,3.9714055,4.8816614,3.428152,4.627715,4.933936,3.8410358,5.0636563,3.2344847,4.456933,4.087062,3.8106013128791063,0.5031185574751667
42,sm6-6_cation->neut,3.03,2.28844,1.0782251,2.4337301,2.8044116,2.045607,3.1867619,1.9199572,1.5030236,3.2078788,3.074761,2.6165278,2.3571267,2.0355043,2.6865308,2.2507548,2.431263,1.6189466,2.4517195,1.622859,2.1631923,2.148591,1.7628887,2.0016613,2.893622,2.389714,1.59585,1.8806515,2.3256245,2.2936413,1.4218273,2.775269,2.1872318,2.6299796,2.0966578,1.6255722,1.4796357,1.8047719,2.053855,2.5558376,2.1821868,3.1649144,2.5438647,1.0873795,3.4121299,2.631493,2.0964994,1.1358838,1.8272061,2.079556,2.2941775,1.5864444,2.4965274,2.2457342,2.0370233,2.4800656,2.5087426,2.1595025,2.2109177,2.5343156,2.2873378,2.8333874,3.248936,2.4595165,3.2836852,3.032495,1.4945023,2.8812618,2.1876507,2.7250829,2.793059,2.291149049141038,0.5434673470754432
43,sm6-6_neut->an,11.74,11.684962,10.478057,12.660987,11.973189,11.556103,10.572739,10.950815,12.672447,13.203077,12.160151,12.019178,12.826904,11.46422,10.813914,10.804407,13.008879,12.785007,12.58683,11.88048,10.838591,11.292683,11.681427,10.745302,10.063074,13.2276945,12.374535,11.281992,12.45846,11.046919,11.036129,9.985591,10.83787,12.552198,10.840056,11.07453,12.785998,11.037114,11.058874,12.547812,10.801047,11.762101,13.078598,11.963844,10.309732,12.079195,11.114121,13.099149,13.089402,11.086597,12.545977,11.43929,13.1200285,11.650144,11.432055,12.162504,11.459256,12.56428,10.611216,12.949501,11.608304,10.804712,10.189371,11.169395,11.22873,10.494705,10.880043,11.224857,10.485322,10.008184,9.387714,11.583219370237538,0.9378477938917315
44,sm6-7_cation->neut,6.08,6.4203296,5.919736,5.8111143,6.703353,5.852412,5.9462023,5.9779315,7.008656,5.66248,5.803093,5.963477,6.641811,5.937681,5.932457,5.754353,6.3131504,6.3080845,6.367445,6.467608,5.7166877,6.2919016,6.079243,5.9673624,5.745553,6.5943036,6.3856463,5.632248,6.2871084,6.051332,5.6081305,6.8076167,5.945942,5.8729057,6.025398,6.2167416,6.2056413,6.0687394,5.6534214,6.0651274,5.9116244,5.7280054,5.9352117,6.340638,6.0243454,5.35599,5.3641424,6.3242455,6.5230403,6.0653505,6.218856,5.9944997,6.077546,6.12503,6.5758896,6.9325953,5.478449,6.2417717,5.764304,6.4223175,5.8079505,6.648099,6.1333766,6.016059,6.70997,6.67041,5.856881,6.829959,6.013085,6.382223,6.5354815,6.128165796844052,0.36755764621645326
45,sm6-8_neut->an,4.22,4.813102,3.2337904,3.2202263,4.5844283,4.0559483,3.6060395,3.4916182,4.371086,3.7564964,4.081984,3.7209888,5.1114764,3.943624,3.8471193,2.9791117,3.8025417,3.9074087,4.094419,4.479374,3.5681548,3.9110222,4.4495945,3.4897823,3.1945505,3.73348,4.5880785,4.2384295,4.3276024,3.7193794,3.4486732,4.073202,3.9173813,3.9279327,3.7196422,5.0238695,4.1211653,3.9810338,2.9903831,4.563338,2.9727087,3.8508892,3.393361,4.800571,3.700324,3.640585,3.248158,4.444555,4.38957,3.853559,3.9508302,3.764865,3.7163997,4.0501194,4.88144,4.490639,4.022163,4.9107375,3.27809,4.399011,3.7287893,3.8162599,4.0501504,3.268577,3.812554,4.1978774,3.612379,4.716418,3.3597312,3.7152252,3.8804765,3.946823831611956,0.5020760994212965
46,sm6-9_cation->neut,5.37,5.7280445,4.983402,5.464634,5.843918,5.816834,5.1813226,5.217494,4.862235,5.417268,5.1440954,5.338253,6.233533,5.767973,5.3966293,5.282771,5.420461,5.07925,5.593875,5.7061806,6.059577,5.051638,5.8874216,5.4100285,5.6276164,5.880135,5.280637,6.096608,5.4201527,5.285968,5.601663,5.16121,4.925374,6.0316496,4.9015694,4.8959985,5.2512517,5.888389,5.180156,5.4964867,5.034362,5.3906984,5.2738633,5.426759,4.7166605,5.8154845,5.132547,5.1775475,5.181774,5.6341133,5.802518,5.1167655,5.0059257,5.436641,5.2051105,5.555476,5.8029933,5.107389,4.936409,5.551695,5.316353,5.4777603,5.388054,4.847916,5.870308,5.4402103,4.6610117,5.910385,4.9618206,5.112311,6.1120653,5.4026004310393,0.36379632135962425
47,sm6-10_neut->an,9.02,8.94046,8.631006,9.034956,9.379423,8.491878,8.915409,8.5542145,8.791025,9.1437645,8.594464,8.265487,8.942677,9.251059,9.685707,9.029011,9.530291,8.352282,9.589099,8.972733,9.212723,8.640033,9.268142,9.451078,9.547351,9.376957,8.614967,9.309504,8.903429,8.096792,9.347298,8.6193905,9.509378,9.18946,9.667618,9.366669,8.583778,9.043866,9.196677,9.109755,7.374009,9.725071,9.347278,9.900919,8.490283,9.101056,9.113661,9.031847,9.017966,8.963161,9.53329,10.241269,9.278619,8.242451,9.055158,9.402109,9.191737,8.904001,8.86237,9.7712755,10.7790785,8.931817,8.244186,8.572542,9.666668,8.196852,9.795313,8.8803625,8.992761,8.480389,9.213835,9.062973835367552,0.528276535025302
48,sm6-11_cation->neut,3.89,3.8550832,3.748226,4.0244923,4.59808,4.091961,3.5475607,3.5401354,4.102606,4.180835,4.54016,4.1779327,4.5836387,3.9905295,3.380663,3.35119,3.8591523,4.1934934,4.171858,3.9616108,3.9759517,4.06061,3.4275546,3.4353716,3.8229823,4.631326,4.2259417,3.3450613,4.1766415,3.6607416,3.6285086,4.3410025,3.850553,4.353119,3.7950284,3.6385572,4.531624,3.9542975,4.089687,4.152446,4.1279526,4.2702827,3.9895024,4.244701,4.0171,4.1175056,3.886193,4.7617736,4.4394984,4.2742524,4.2454443,4.2674313,4.312476,4.1308746,4.6426744,4.160764,4.311946,4.0624924,4.1789794,4.292745,4.209576,4.1240954,4.447709,4.6689076,3.8679862,4.296757,4.3205814,4.468159,4.285187,4.1691246,4.1926327,4.0939650453648095,0.32847995418598613
49,sm6-12_cation->neut,5.28,5.646723,4.997007,4.34281,6.76923,5.575014,5.2743597,5.168131,5.2372923,5.5149717,4.895647,5.3258266,5.827998,5.8344173,5.276178,5.207282,5.1149673,5.6429095,5.2923026,5.8987327,4.9892273,4.7311773,5.8571844,5.3678327,5.1639543,5.3841314,5.8025618,5.0928555,5.0849485,5.3055096,5.1745205,5.1557913,4.6772566,5.354868,5.101422,5.3787966,6.0891685,5.7294917,5.0402617,5.2690306,4.758134,5.307513,4.3891735,6.034366,4.708291,5.231289,5.0206423,6.266864,6.054288,5.123102,5.7801642,5.337848,4.838277,5.4019647,5.134467,5.4488335,5.2975597,5.4171634,5.23842,5.308325,5.4019647,5.243049,4.8934755,4.781598,5.7650037,4.668644,5.1487803,4.7758985,5.508193,4.524984,4.8123426,5.288625472431451,0.43631433224652494
50,sm6-13_cation->neut,5.77,5.8995376,5.217579,5.838633,6.0882816,5.4958773,6.2858706,5.988122,6.1635885,5.763385,6.4812584,5.490326,6.3713865,5.5788326,6.0528307,5.6768956,5.3991265,5.4544153,6.439788,5.918358,5.2978673,5.0326757,5.2413483,5.618428,6.2996798,5.743386,5.1468954,5.9691896,6.488474,5.358289,5.802793,5.5481634,5.9339023,5.4840584,4.906702,5.5158525,5.6034327,5.836568,5.6713705,6.1478744,5.250987,6.5920715,5.3262486,5.639527,5.310992,5.3400354,5.39074,6.128792,6.2559237,5.3770065,6.233004,6.2770014,5.718979,5.785612,5.3486705,6.196738,5.7359753,5.9136076,4.9900084,5.8712873,6.1151195,5.7142606,5.4413753,5.388939,5.55664,6.137278,5.0995426,6.230485,5.366802,5.6067085,5.898575,5.736055965423584,0.40072792473458746
51,sm6-14_2cation->cation,2.58,3.2317293,3.1115332,2.9308534,3.0917127,3.1858702,2.8791158,2.8992236,3.5165577,2.9796476,2.3673902,3.5017352,3.0173078,3.2670746,2.7567506,3.061371,2.9987729,3.2736044,2.8610055,2.794233,2.9883623,3.2758636,2.7522962,3.2451694,2.9255033,3.19764,3.8109279,2.5481105,2.0581162,3.4690528,3.171915,2.8696423,2.3489366,3.0735765,2.848853,3.3522437,3.2530448,2.8684583,2.987197,2.9187717,3.0440738,3.3168073,2.9490266,3.093639,2.3266315,2.6096864,2.9176412,4.2178874,4.2879844,2.75954,2.3585997,2.9075017,3.415999,3.2099593,3.227359,2.067328,2.5573156,4.645698,3.3921015,2.4758482,3.4165354,2.1840887,3.0876226,3.280179,2.7357082,2.6367154,2.3579984,2.5968044,2.6779408,2.662301,2.6898232,2.991204427396747,0.4635367969606448
52,sm6-14_cation->neut,5.3,6.087769,5.5770044,5.375646,6.1071167,6.0116544,5.6266494,5.469804,6.0027776,5.718364,4.4062176,5.3163195,6.023655,5.6881056,6.063841,6.0013924,5.8261924,5.76264,6.394804,6.051544,5.466868,5.4662886,5.8538446,5.562468,6.2148714,5.255286,5.9346285,5.2937574,4.7812567,5.9574165,5.5046,5.723324,4.922227,5.7234592,5.931789,5.7949576,6.1283584,5.415174,5.6437397,5.7279325,5.7664413,5.832628,5.4167714,6.2795463,5.6189795,5.162838,4.9420023,5.724656,5.927697,5.581687,5.2837024,5.2834535,5.818696,6.1007586,5.1819897,5.631358,5.2186003,5.2758207,6.2051797,5.411726,5.7886615,5.802055,5.8941674,6.0982046,5.850801,5.110526,5.610593,5.6428556,5.7065506,5.363788,5.8830805,5.655345893913592,0.37264762479167063
53,sm6-15_cation->neut,4.7,5.741352,4.9291515,4.77543,5.5366707,4.800208,4.615828,4.8196764,5.1540475,5.1084423,4.1901836,4.406022,5.4173098,4.5819798,4.67809,5.0715475,5.176507,5.0349617,5.976685,5.5964847,4.466549,4.39084,5.1224504,5.1503067,5.2341924,4.943693,5.2079773,4.34165,4.871205,4.626519,5.0729656,4.4365854,4.0138354,4.7116737,4.744728,5.408242,5.531571,4.5268393,5.2626925,5.0118318,4.5963793,4.785514,4.5076485,5.847211,4.4084415,4.2877674,4.9287524,5.2076445,5.136363,5.0530405,4.687914,4.295289,5.0935345,4.6926546,4.791662,5.120449,4.281213,4.8269205,5.154648,4.865157,4.762371,4.869025,4.6952047,5.166228,4.964216,4.2754416,5.3100615,4.305493,4.996735,4.319301,4.2969465,4.872058494997696,0.4136891259267151
54,sm6-15_neut->an,8.94,9.958882,9.401849,9.063922,10.344618,9.461597,9.862754,9.726818,8.880924,9.009926,8.447867,9.090101,10.717878,9.293391,9.270471,9.502173,9.291606,9.346363,8.336803,9.47909,9.247259,8.5831,8.834114,9.257803,9.323404,9.481819,9.020786,9.726443,8.182908,8.462957,9.254883,9.000145,9.066372,8.852927,9.414452,10.3133745,9.273289,9.781399,9.276275,8.290655,8.667269,9.426673,8.937274,10.266794,8.569912,9.586218,10.127441,9.10057,9.075693,9.223204,8.561038,8.773579,8.79871,8.2701235,9.9851055,7.761929,9.980472,9.439142,8.140659,8.58984,8.711416,9.524986,8.395502,8.905818,9.122629,8.605932,9.311003,8.601844,9.294834,8.804916,8.458636,9.14212060229879,0.5770214146954662
55,sm6-16_cation->neut,5.37,5.4021854,4.727119,5.0837383,5.055658,5.237005,5.063846,4.5529547,5.7614512,5.2726936,4.957863,5.1872272,5.5116825,5.389469,4.970271,4.6781344,5.1292844,5.369697,5.644197,5.281381,5.0017247,5.3055496,4.735438,4.857378,4.8159423,5.886955,5.6568146,4.773201,4.925862,5.505142,4.6187377,4.6826553,5.058017,4.822267,4.389811,5.004312,5.4486036,5.0983205,4.833023,4.967575,5.0090294,4.5588512,4.452202,4.959161,4.9112034,5.044084,4.5417075,5.6074467,5.2047873,4.357315,4.58282,4.3888493,5.918535,5.4090967,4.996476,4.8386188,4.9384203,5.3344784,5.042404,5.029269,4.673103,4.318175,4.872381,5.0793962,3.9440064,4.858911,3.7990067,5.2895203,4.3542347,4.9348416,4.5933814,4.984153524183891,0.41466879535631485
56,sm6-16_neut->an,10.65,12.305405,11.510696,11.845479,12.119544,11.785242,11.869864,11.960181,10.944785,11.438889,11.526472,11.375383,11.571585,11.938313,11.873664,11.762676,12.11348,11.6354475,12.402369,11.912996,11.890966,11.610144,11.472139,11.325488,11.725223,11.860065,11.599914,11.841833,12.432967,10.560642,11.563568,12.237558,11.505579,11.800034,11.283534,11.705502,11.387939,11.913493,11.294352,12.254103,10.991818,12.097226,11.587535,11.758759,11.741828,11.772952,11.1687355,11.561196,11.876664,11.065876,11.9764385,11.901545,11.557006,10.7042675,11.351897,11.555505,11.64919,11.957197,10.666721,11.557938,12.053353,11.330496,13.381062,11.128173,11.457095,11.843051,11.616849,11.992631,10.780917,11.773449,12.741634,11.667697441745812,0.4741968785928639
57,sm6-17_cation->neut,3.16,4.879947,3.5170424,3.8805902,4.446144,3.6992755,4.1609674,2.86476,4.5691943,3.7841315,3.6003025,4.00144,4.886655,3.7016666,3.2855995,3.42095,4.207132,4.181172,3.9467359,4.1986136,3.8431592,4.154243,4.1280327,3.320236,3.6872573,4.395441,4.1412697,3.4431627,3.2755358,4.126093,3.131155,3.2973561,3.7280118,3.7120364,3.133629,4.20852,4.5003633,4.0404034,3.4361749,3.515499,3.402661,3.2630181,3.168159,4.4687195,3.556908,3.8982036,3.195807,4.889429,4.6480165,3.369934,3.3179421,3.3384054,4.242967,4.5656695,4.4592085,3.1183553,3.5811973,4.5302887,3.886962,3.4725282,3.3604155,3.6070752,3.665766,3.8159952,3.5723,4.0340266,3.2100565,3.557421,3.3485503,3.0690298,3.7990186,3.7890694800900735,0.4969355137942542
58,sm6-18_cation->neut,2.15,3.2554288,2.3865323,2.9227295,3.4400423,1.9333911,3.0758972,2.4342756,2.2537904,2.6070735,2.6432304,2.8672822,3.0509422,2.8339262,2.456194,2.914517,2.7090302,2.718082,2.4299774,2.9708915,2.0636663,2.6031055,2.1752086,2.6063044,3.2710419,2.1999707,2.6826122,1.7968149,3.1895268,1.9233787,2.8644867,2.6733847,2.9150772,2.259985,2.63334,2.8126426,2.8270216,2.545689,2.7087822,2.639658,2.1410048,3.3031971,1.8967485,2.8844008,2.711067,2.0178943,1.9416463,2.817179,3.17666,2.3728318,2.8441925,3.0901966,2.3865829,2.1734605,2.7839327,2.948574,1.9928851,2.6756804,2.0397844,2.9207356,3.0775332,2.4249015,2.6739106,2.623954,2.9384449,2.5539238,2.8309817,2.8675258,2.2176573,3.047452,3.0360692,2.631773789499847,0.39056997048099984
59,sm6-18_neut->an,9.58,7.682432,9.420665,10.19153,9.508337,9.892606,8.62498,9.305397,8.813194,10.853511,8.846539,10.105391,9.101635,9.602706,8.589933,9.054178,10.742386,9.515354,9.070654,8.767977,8.816991,8.766268,9.365241,9.747157,7.9667134,11.259699,9.231007,8.636501,9.229279,9.412946,9.961967,8.892858,8.507665,10.259249,8.975065,8.941307,10.16074,8.797159,8.7272415,9.442043,9.043891,8.592751,10.975008,8.039627,9.966203,8.698954,10.180542,9.842334,9.969862,9.001131,9.519487,8.348385,10.7152,8.379631,8.590877,9.434219,9.111574,9.341932,8.344038,9.522347,8.7982025,9.283109,8.870064,8.623245,8.913949,8.807667,8.663311,9.422129,9.057889,8.178453,9.129152,9.235657243057036,0.7219366187403004
