,compn,exp. pKa,pKa predicted by models:3-3,pKa predicted by models:3-9,pKa predicted by models:3-8,pKa predicted by models:3-5,pKa predicted by models:4-2,pKa predicted by models:4-3,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:3-0,pKa predicted by models:8-9,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:5-2,pKa predicted by models:4-7,pKa predicted by models:3-1,pKa predicted by models:4-6,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:4-0,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:4-1,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:9-2,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:9-3,pKa predicted by models:6-0,pKa predicted by models:9-9,pKa predicted by models:8-4,pKa predicted by models:9-8,pKa predicted by models:10-2,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:9-5,pKa predicted by models:10-3,pKa predicted by models:10-9,pKa predicted by models:6-1,pKa predicted by models:10-8,pKa predicted by models:11-2,pKa predicted by models:9-4,pKa predicted by models:11-4,pKa predicted by models:7-0,pKa predicted by models:9-7,pKa predicted by models:10-5,pKa predicted by models:11-3,pKa predicted by models:9-6,pKa predicted by models:11-9,pKa predicted by models:11-7,pKa predicted by models:11-8,pKa predicted by models:10-4,pKa predicted by models:11-6,pKa predicted by models:10-7,pKa predicted by models:11-5,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:10-6,pKa predicted by models:9-0,pKa predicted by models:8-1,pKa predicted by models:10-0,pKa predicted by models:9-1,pKa predicted by models:11-0,pKa predicted by models:10-1,pKa predicted by models:11-1,consensus,std. dev.
22,sm11-21_neut->an,3.05,4.82925,4.167178,5.375853,3.3009362,4.6197405,4.4612684,4.7399836,4.104643,4.034459,4.5461025,4.3072395,4.8545494,4.5697074,4.533021,3.3323822,4.712963,4.624435,3.9471807,3.507619,4.715863,4.1235576,4.1121693,4.3306265,4.052471,5.471635,4.5147796,4.185566,4.7583985,4.190037,4.4766073,4.5948143,4.9394107,4.2309146,4.5485106,3.1873422,4.697385,4.8740067,3.93855,4.4934983,4.4730973,4.293038,3.6364436,4.5303345,4.1728435,4.7552166,3.992404,4.462405,3.8348265,4.807324,4.4132643,2.713831,3.5895739,4.658415,3.582634,3.9829445,4.2138395,5.0283804,3.8503103,4.336705,3.9118166,4.2226653,4.7860217,3.9599342,3.8239565,4.3303633,3.9625955,4.0860686,4.029667,4.0533466,3.9680245,3.9895287,4.6326065,4.678762,3.5506625,4.112919,4.355317,4.622178,4.6617184,3.924526,4.2148886,3.5964923,3.8655329,4.319363,3.6845255,3.559544,3.5584874,3.3772087,4.213587,3.8727422,3.643198,4.208249807881785,0.49779049003427106
23,sm11-22_neut->an,8.93,8.641399,9.647436,9.864332,8.718063,9.50782,8.486538,9.531343,9.156669,9.1703415,9.744196,10.516624,9.691851,8.963918,9.990776,8.714925,8.883751,9.217033,9.199224,9.495932,9.78216,8.065302,10.474041,10.008021,8.922049,9.029665,9.09708,8.692942,8.864986,9.152277,9.214626,10.476513,9.940472,8.779958,9.15572,9.451991,8.80386,8.053569,9.07213,9.899931,9.571517,9.1287,8.296661,8.960248,8.846231,9.173973,8.735817,9.864441,9.259972,9.39609,8.848986,9.590755,8.500227,9.5106945,9.033298,10.822019,8.705618,9.445036,8.261337,8.986282,9.65592,9.015285,9.429882,10.92513,9.107927,9.622965,8.650156,8.932673,9.183797,8.922872,9.186132,8.578116,9.452684,9.368053,9.970368,9.3719845,9.380005,9.222389,10.005496,9.45197,8.652372,9.369416,10.037693,9.489006,9.886142,9.565744,9.541218,10.163318,9.167655,9.842539,10.449771,9.313692833617495,0.574662423685082
24,sm11-23_neut->an,3.16,3.356914,3.91051,3.2187467,3.3889985,3.8558803,4.026654,4.0631385,4.7863016,5.2175064,3.985155,4.1284804,3.3641844,5.3487983,3.3264565,3.8459425,4.9826217,3.9294212,4.0767646,4.179291,4.1064816,4.001964,3.8344316,3.1850586,4.5486794,3.9722948,5.376974,5.495861,4.1404023,4.060234,4.113676,3.5474997,3.054862,3.4945269,3.7880397,4.412508,3.9446254,5.7196393,4.609915,3.4613805,3.4639611,3.7111773,5.3464756,3.7515154,3.8532138,4.1028786,5.0695887,3.3430138,2.6892385,4.493431,3.4313765,4.2049274,3.8262312,3.688019,5.6259604,3.5198784,5.17514,3.4364758,4.0127487,4.259072,3.0709705,3.6030264,3.8040438,3.6310854,4.3959284,3.498073,3.9720767,5.6123066,5.9182034,5.934495,3.9713912,3.5774431,3.9060965,3.8915274,3.3644533,4.322706,3.137167,5.5506163,4.615774,3.6651835,4.2333117,5.5324745,4.173868,4.1265225,6.157867,4.05686,5.983145,3.9653368,5.789956,4.2719803,4.612686,4.179908992536775,0.791446933237413
25,sm11-23_cation->neut,3.16,1.3654776,1.7264466,2.228104,1.3404007,1.8299317,1.5315695,1.6721616,2.4558299,2.4605436,1.4644375,2.2195864,1.5994363,3.0769906,1.4474983,1.7298832,2.1614087,1.1770792,2.104269,1.3955336,2.2940032,1.1297679,2.453434,1.697907,1.6201682,1.7855449,1.3352253,2.1231914,1.3516803,1.9369724,1.933656,2.7834206,1.561554,1.3001251,1.364666,1.3733411,1.2651324,2.123374,2.015345,2.1385412,0.7913828,2.2048616,2.4074903,1.9171531,1.2075796,1.7052584,2.1753373,1.7861562,1.1851907,1.7245579,1.6216478,1.4696937,0.89129305,1.283195,1.4216571,1.331316,1.9183192,1.7276139,1.770541,1.9598463,1.6762218,1.3012948,1.5602427,2.0641866,0.8332672,1.8670592,1.2226944,2.0988255,2.3626537,1.0694466,1.4084072,1.2721395,1.5859332,2.0767462,1.8113384,1.3914559,1.5071831,2.1023865,2.2839143,1.6071386,0.6183963,1.0626802,0.60487366,1.9194057,1.4795723,1.160594,1.1707771,0.7880497,1.6050348,0.7412214,0.6002121,1.6602975998344003,0.5154369007998135
26,sm11-24_cation->neut,7.63,6.9974456,7.6816483,7.385263,6.9944987,7.8232627,6.385195,7.844636,8.074627,7.229118,7.654901,8.154981,7.110887,7.2180862,7.289361,7.64573,7.874822,7.155541,7.9319677,7.2845216,6.5140867,6.3845263,8.361406,7.060851,7.4011126,7.726772,7.6577973,7.2405033,7.3161497,7.394063,6.644619,7.6510935,7.550262,7.403555,7.481014,7.253641,6.3241587,7.287318,7.9361115,7.721466,7.135786,6.7773223,7.4876995,7.6071587,6.821885,6.6475987,7.8967204,7.25376,7.371565,6.9109545,7.3025856,7.248289,7.1384697,7.111301,6.8126097,6.945952,7.814717,7.6397567,7.1554213,7.8990073,6.692584,7.6939626,7.228317,7.576827,7.6250935,7.68814,7.5238957,8.094727,7.7485,7.368731,7.7927675,7.6340103,6.737483,6.8800774,7.1944823,7.835676,7.3404546,7.62771,6.963884,7.8210535,7.181396,7.4397254,7.5056677,6.9711065,7.268858,7.078822,7.7876806,7.1402903,7.352744,7.425935,7.0988884,7.3623631590539285,0.41634752386696827
27,sm11-25_cation->neut,5.75,5.3874106,6.144316,5.3215876,5.3514166,5.927347,5.268886,5.8468657,6.167041,5.8051534,5.773412,5.8222713,5.6501737,5.826416,5.8919897,5.8993998,6.789484,5.636074,6.4778767,5.2977495,6.477612,5.2198415,5.8022594,6.064706,5.6069255,6.46245,5.3701997,5.713973,5.3718615,5.636831,6.238476,5.976454,5.7882347,5.607131,6.056107,5.3763375,6.067602,5.3689857,6.229621,6.146149,5.481248,6.0809965,6.3761406,6.1035824,6.0172834,5.5156274,5.632068,5.6422253,5.30713,6.073978,6.2033443,5.206615,5.5645247,5.7045994,5.5772195,5.999322,6.0305853,5.034777,5.747778,5.4437227,6.2053423,5.957408,5.2686334,5.80405,4.8872986,5.318716,5.837953,6.445832,6.2044845,5.5011387,5.543518,5.610442,5.537793,6.7662454,5.7319627,6.2149086,5.340553,5.83284,6.223159,5.3855114,6.141989,5.646308,5.4988265,6.291266,5.886942,5.298174,5.4481745,5.6444182,5.226105,5.691552,5.486371,5.771838586409014,0.3861380641498478
28,sm11-26_neut->an,9.24,9.609407,10.178847,9.051882,9.487909,9.601039,9.151462,9.298703,9.787733,9.928941,9.117298,9.933748,9.25966,9.739214,10.531799,9.07556,9.66657,9.226936,9.91414,9.374444,10.168413,8.753143,10.700098,8.548206,9.163847,9.389601,9.619562,9.365512,8.190466,9.729149,9.786216,10.625677,9.001451,9.316387,9.382843,9.892678,9.293317,9.642567,9.967492,10.292849,9.271395,9.677619,10.093667,8.809872,9.320943,9.24133,9.564089,8.796449,9.994652,9.094911,9.008594,10.269629,8.630851,9.444994,9.891179,10.286262,9.840982,9.384313,9.283779,9.845972,9.807753,8.5061035,9.682291,10.120277,9.732832,8.689792,8.73596,10.404026,9.81725,10.0464,10.435937,8.410847,9.103174,9.575003,9.819672,10.245933,9.126865,10.244997,9.3101635,9.778212,8.49575,9.880812,10.197537,9.598536,10.33476,9.7263975,9.751918,10.255514,9.76707,10.35689,10.473406,9.584487047719431,0.5503950446685241
29,sm11-27_cation->neut,4.47,4.2735376,4.4117355,4.840019,3.7516723,5.225014,3.1614866,5.105661,4.781913,3.882916,4.466555,3.8684187,5.279814,3.8987813,3.727717,3.9414716,4.5856037,4.760825,3.9842968,5.2156963,4.964074,4.2856383,4.1587796,4.849491,3.6453276,5.0562363,4.7692766,4.472022,4.837329,4.4943705,4.2082233,4.2672334,3.576456,3.9932108,4.8484864,5.3539696,4.6653056,4.3304515,4.660861,3.7684088,3.838376,4.580222,4.6266203,4.6281047,4.6573567,4.177836,4.6482134,4.011594,4.5945077,4.4190536,4.5475755,4.3601084,4.0574374,4.779711,5.3986287,3.6577525,4.0090995,3.6633582,4.5657268,4.37309,3.6106524,4.9426208,4.0122347,3.776926,4.9854097,4.4050074,4.9049597,4.4144816,4.1944404,5.368874,5.069031,4.0686264,4.6898336,4.6553764,4.046034,4.6947036,3.9928675,4.694266,4.2453294,4.571438,4.2933235,5.716793,5.100143,4.7550426,5.4845057,5.3897357,5.6683407,5.466656,4.884733,4.847079,4.8006907,4.507503438467508,0.5310582135529747
30,sm11-28_cation->neut,5.95,5.677051,6.0761003,5.851587,5.8225183,5.472865,5.0892835,5.599132,5.9945183,6.0148582,5.5692544,5.3078566,6.236695,5.992616,5.061907,6.0189977,6.13831,5.512265,6.5192566,5.4962416,5.77349,4.6248302,5.7136908,5.2959747,5.8242874,5.3489656,5.5446773,5.401705,5.607237,5.7576046,6.2888937,5.1285915,5.7370896,6.2935867,5.268945,5.9732857,5.5565596,5.7286487,5.856313,5.710034,5.5004735,6.5408134,6.413888,5.396557,6.3970795,5.1389174,5.9893456,5.9284596,5.4746046,5.925565,5.174158,5.242832,5.6693106,6.260537,6.730772,5.49879,5.504272,5.352059,5.5674067,4.477507,6.338023,5.934412,5.2947226,5.6862044,5.566865,5.8166146,4.9682226,5.8868504,5.8561034,6.4620166,4.9876432,5.642792,5.3608255,6.401085,4.5769677,5.9412966,5.0965242,5.841567,6.777828,4.6799536,6.417036,6.621997,5.282418,6.338975,6.6065807,4.911313,7.0622964,4.751608,6.188064,5.036859,4.6021557,5.70280100958688,0.5409134307029942
31,sm11-29_neut->an,3.28,3.3527737,3.5248365,3.8062544,3.2432323,3.6468024,2.9527044,4.001959,2.788455,3.683502,3.3200226,3.754179,3.9751768,4.2645736,4.0153503,3.6797523,3.1332006,3.873198,3.487307,3.7252007,3.6190462,3.3755927,3.533247,3.6930957,3.4006505,3.9955363,3.6933932,3.2704782,3.5828314,3.6634016,3.554647,4.0648165,3.897138,3.4021387,3.5364223,3.5343142,3.9699874,3.4021873,3.157383,3.4700913,3.5836296,3.3272357,3.6825385,3.3969278,3.1872644,3.727522,3.3867135,3.8189244,3.095356,3.3707514,3.7856765,3.6595378,2.9706469,3.9492006,3.606718,3.863274,2.898634,3.5856252,3.4749353,3.5712461,3.246251,3.7712154,3.8068478,3.914513,3.5390372,3.8849287,4.0037546,3.450984,3.5845969,3.4024246,3.6781714,3.4997692,3.712524,3.5753307,3.637227,3.753347,3.7120833,3.7042894,3.5412607,4.465273,2.8471332,3.5749261,4.0738764,3.3591628,3.8254328,3.3877997,3.4826694,3.5575218,3.5181031,2.7987757,3.4429297,3.5716417231926547,0.3098576431702168
32,sm11-30_neut->an,7.89,8.606997,7.5995774,8.5587225,8.010039,7.9558425,8.823269,8.178052,7.7963915,7.335498,7.7488666,8.293675,9.2275095,7.6081724,8.184874,7.913142,7.5165844,7.8526087,8.3977585,8.200033,8.416788,9.109749,8.326564,8.994671,8.184064,8.489669,8.0871,7.2859573,9.305267,8.38821,9.075397,8.629595,7.9611025,8.398334,8.793585,7.9666495,9.178882,7.6443586,8.559739,8.349726,8.415396,7.8873057,7.483725,8.417415,8.992523,9.457758,7.7848215,8.655629,8.060607,7.730812,8.648803,8.305555,8.064086,8.595145,8.366826,8.207281,7.8674364,7.781278,8.897143,7.8293014,8.031358,8.242054,9.267428,8.674306,8.431824,8.112816,9.155769,7.8851967,7.78189,7.972125,8.132515,8.120708,9.393489,8.713036,7.7464066,8.034005,8.426841,7.826627,7.7625628,8.234472,8.352978,8.494491,7.928582,8.138132,8.755097,7.9557896,8.470717,8.07607,8.158527,8.234512,8.523982,8.278309608710991,0.48176370746878366
33,sm11-31_neut->an,2.87,2.4731412,3.426755,3.369722,2.5283003,3.2030911,2.797759,3.4202452,2.2274609,3.1413455,2.8636737,3.448379,3.4780774,3.7554493,3.5799503,2.6696968,2.3536458,2.6445441,3.0175369,3.0568533,2.654323,2.5696244,3.4705925,3.0890503,2.8877277,3.1573973,2.9777768,2.1354098,3.0353084,3.12953,2.5643234,4.2241173,3.291573,2.3781013,2.5483608,2.5666647,3.120214,2.9195886,2.8406856,2.874619,2.7577815,2.323688,3.5932703,2.5457592,2.3088589,2.860713,2.503981,3.069077,2.7290487,2.5498247,2.7516818,3.3408642,2.5006118,3.1826963,3.2059374,3.277659,2.9317226,3.537714,2.4514332,3.0800877,2.5653982,2.96024,2.7326035,3.3919926,2.739613,3.3953748,2.6404943,2.62424,2.770453,3.2984328,3.2538157,3.4109766,2.8605633,2.7556934,3.236271,3.2865157,3.0168085,3.070498,2.6127167,3.7817783,2.7823458,2.912951,2.9535108,2.6687198,3.1917796,2.8764591,3.118737,2.7722025,2.8879664,2.7601962,2.4528723,2.945552140749418,0.38669508106527417
34,sm11-32_cation->neut,6.64,7.6065197,6.8629184,7.4312515,7.2928014,7.402573,7.1563044,8.029483,8.416484,8.126116,7.359709,7.1336164,7.958618,7.793687,7.104833,6.7674847,8.417582,8.161811,8.626637,7.023586,8.262836,7.1352224,7.850045,7.8769426,7.296791,8.262239,7.9270096,7.8457494,7.8920107,8.18054,7.45998,7.999918,7.937773,7.1652746,8.106455,7.8693733,7.17985,6.864582,7.5683594,6.5115023,7.803239,7.857995,7.2244005,7.2720723,7.535068,6.770482,7.9404097,7.4048567,8.043189,7.6612797,7.209931,7.3040957,7.478239,6.9225373,7.9128623,6.3449087,7.250041,7.2475452,7.1170406,7.7116175,8.1656,7.790925,6.7329664,6.634683,7.378701,7.893752,7.6232986,7.591832,7.275192,7.67357,7.743469,7.3217993,7.2048817,7.9618425,7.1203027,8.124964,8.082091,7.7922583,8.241404,7.732122,6.8327127,7.775712,7.5781765,7.7985454,7.862725,7.0793676,7.3190484,7.281862,7.628289,7.5153627,8.078811,7.55332468514914,0.4770260602564843
35,sm11-33_cation->neut,6.79,7.2482066,7.1008263,6.4915814,6.54416,6.405033,7.454006,6.7707543,7.253709,7.4732165,7.089185,7.250961,6.3963,6.0549827,7.2971597,6.8583183,6.9772844,6.6096783,7.366064,5.766279,6.6788135,6.568599,7.5028625,6.264825,6.6691933,7.260424,6.352191,6.5487185,6.9384146,6.704451,7.158302,6.9081564,6.4734917,7.4663057,6.9942307,5.6692915,7.7310247,6.131652,7.5521464,7.393471,5.635857,7.336104,6.971829,7.3033495,7.3045588,6.867639,6.7559214,6.607688,7.192217,7.4659767,7.184706,5.6143675,6.9975567,7.34074,6.549951,6.765341,7.0680885,6.1457167,7.383407,6.5289254,7.474244,7.0208874,6.58348,7.0987234,6.6023903,6.0159793,7.412749,6.386084,6.620145,6.624986,6.503898,6.6757174,7.0050097,7.833907,6.279759,7.1214595,6.24955,6.5243835,7.9539514,6.6151934,6.9729257,6.634708,5.94868,7.8025427,7.289541,5.713833,7.126547,5.2784715,6.557316,5.607563,6.189418,6.801189585465651,0.558816491224365
36,sm11-34_neut->an,4.04,3.5811677,4.479885,4.609252,3.7830005,4.7373695,4.3323717,4.7225184,4.858672,3.7413344,4.216156,3.9195356,4.569212,4.996435,4.383427,4.5503407,4.4581895,4.0748444,4.10608,4.750327,4.27582,4.026299,5.05008,3.9602804,4.1324964,4.565166,4.0442357,4.68788,4.123841,4.2238383,4.6343937,4.594643,4.2322817,4.3482237,4.726455,4.4791417,4.6724896,4.91357,3.5170207,3.962232,4.574344,3.9322004,4.557407,4.5938597,4.5751934,4.6797056,4.5304923,4.662574,3.920264,4.2594557,4.494443,4.4064465,4.168485,4.487927,4.3062787,4.3922734,4.344808,4.244957,4.7751307,4.034955,3.923965,4.8758736,4.199295,4.926453,4.7812276,4.421074,4.7282667,5.3027816,5.3901205,4.519652,4.0481453,4.96687,4.579871,4.8216605,4.334562,4.2048297,4.2876053,5.2761564,4.12699,4.36527,4.2126155,4.4608817,4.846134,4.4700413,4.568506,4.225766,4.7336,5.031559,4.822851,4.994219,4.19584,4.446861427328089,0.3710613782309139
37,sm11-35_cation->neut,6.3,7.2541227,6.42957,6.314102,6.5589504,6.512708,6.6126976,6.999857,7.118201,7.0327435,6.7353673,6.3682303,6.2908897,6.1818132,6.8552804,6.431838,7.329223,6.6200895,7.113956,6.3827424,6.492917,6.311231,6.6579905,7.047888,6.2059755,6.5681477,6.049455,7.3094645,6.7818494,6.4615064,6.38643,7.153756,6.5826592,6.1878986,6.810583,6.7056637,6.707286,7.563643,7.357043,6.429589,6.3037786,6.468507,6.304203,6.755986,6.3086333,6.60949,7.425793,6.345911,7.4739714,6.0223975,7.015364,7.0962305,6.4114275,6.8384476,6.871332,6.648587,7.2609344,6.2572293,6.641819,7.0607796,6.440138,6.0946274,6.8810005,7.2139416,6.533243,6.1939583,6.719241,7.661558,7.6850376,6.4199114,7.44761,6.2142496,6.665974,6.660036,7.02752,7.3216147,6.1081743,7.287509,6.505147,7.183874,6.5100465,6.029911,7.05952,6.8165755,5.950779,6.748407,6.250792,6.9004283,6.309099,6.743143,6.7304907,6.69942570571061,0.4171883373570319
38,sm6-1_neut->an,9.53,9.465067,10.330673,9.980106,10.234269,10.255872,9.614132,10.645859,9.502317,10.285202,9.049816,10.477781,10.375729,10.15003,11.098173,9.631048,9.650605,10.103416,10.15341,10.09008,9.804945,9.527462,11.116187,10.372631,9.870235,10.432435,10.2128105,9.80867,9.757873,9.890044,9.6584635,11.576439,9.90525,9.831327,10.583566,9.696453,9.713057,10.05341,9.808214,10.227724,10.125407,9.212032,9.98262,9.709273,9.625927,10.395803,9.946293,10.147804,9.696865,9.092371,9.907976,9.645933,9.751813,9.872091,10.563003,11.00138,10.0546,10.01054,9.811672,9.976874,9.092298,9.650339,10.242317,11.085599,9.439303,10.091936,10.419493,10.084061,9.934832,9.9953165,9.639764,9.698018,9.99816,9.040028,10.341828,9.885691,9.860039,10.56352,9.122902,10.043646,9.358438,10.130379,9.499643,8.990218,10.450445,9.417902,9.811633,9.974636,9.59451,9.247114,9.387558,9.94607283288306,0.4849765605429435
39,sm6-2_cation->neut,5.03,5.6706963,5.3568935,4.373094,4.8310246,5.411063,5.1894536,4.3441978,5.531354,5.2529764,5.0781226,5.9829483,5.5111303,5.341139,5.6793385,4.7923946,5.393708,4.7834787,5.59337,4.9903793,5.009465,5.639179,5.8585014,5.455263,5.230627,5.0321774,5.508581,5.5176907,4.465466,4.8182364,5.152281,5.8661346,5.2862177,4.5971193,5.010021,5.1654067,5.5548015,5.2600546,5.3753834,5.430164,5.1027837,4.6453967,6.0139856,5.1605034,4.71932,5.995642,5.337885,4.467484,4.929373,4.661103,4.917049,5.049364,4.632558,5.4649944,5.84512,5.515663,5.730926,4.9530306,4.851972,4.6666307,4.809456,4.721135,4.72515,5.400073,4.236155,4.9705877,5.5329847,5.5827827,5.8160453,6.031073,4.6705112,4.8399134,5.5488133,5.912489,5.7649183,4.6698966,4.731829,5.110277,4.698947,5.3880644,4.478271,6.1145687,4.778116,4.315847,6.111491,5.0583982,6.200137,5.9461107,5.698202,5.2531676,5.318054,5.213887741591904,0.4786257837859824
40,sm6-3_neut->an,7.02,8.413322,7.5256963,6.8166003,6.814512,7.0901847,7.9322777,6.572649,6.836447,6.8881545,5.8153663,7.2144513,6.597988,6.7143908,6.631096,7.184717,6.7796,6.399763,7.528054,7.201383,6.8944044,7.377464,7.446515,6.2993326,7.402027,7.438387,6.587207,6.337888,7.8787985,6.816787,6.1657896,7.311086,6.2057467,7.53419,7.1312323,7.4967604,7.8567057,7.445657,7.864567,7.0531635,6.62777,6.469786,6.617065,8.081092,7.557536,8.101606,7.4723735,6.757368,7.345696,6.8456497,7.9581757,6.6127295,7.5827103,7.963251,5.8783655,6.7187953,6.9574428,6.3529987,7.6511164,6.80978,6.0936356,6.8696556,8.716174,7.391436,6.9604726,6.7650375,7.245204,7.1331916,7.074944,6.85717,7.3884354,7.2046547,8.4573345,6.505204,6.948338,7.6100025,6.491976,7.3409314,6.181119,7.612133,7.0535765,6.5446396,7.471407,6.4673424,6.846787,6.7933035,6.53764,6.956338,6.707021,6.3507,7.018751,7.060178301046182,0.5757767855461229
41,sm6-4_cation->neut,6.02,6.3380156,6.2012243,5.8901634,5.629613,6.533643,5.9763737,6.5131464,6.1641493,6.742526,6.0655246,7.109008,6.1206126,6.236902,6.243858,6.287895,7.0529776,5.75842,7.521806,6.139193,5.9881077,5.7800155,6.382771,6.3283005,6.0306196,6.215715,6.4994526,6.452682,5.7846017,6.383885,6.024783,6.8335457,6.305895,5.5851808,5.968131,6.363267,6.7112527,6.3206463,6.915066,6.6402392,6.326553,5.8185997,6.050269,6.86549,5.6201177,6.6211967,6.1606874,5.5550823,6.549283,6.131683,6.1281776,5.98137,5.564023,6.266014,6.485929,6.592447,6.7020864,6.236016,5.7998543,6.2845583,5.743368,5.563216,5.8795786,6.6551943,5.250891,6.256733,6.250653,6.6140385,6.664711,5.9369307,6.065171,5.773777,6.5782022,6.576015,6.9830546,6.1582785,6.055875,6.3637104,5.9295244,6.3321795,5.5124407,6.3558254,5.8241606,5.908923,5.826322,6.3653955,6.4046226,6.6742253,5.3702135,6.486833,6.6332903,6.228483504201029,0.4123690777445194
42,sm6-5_cation->neut,4.59,3.9962358,2.8411083,3.2981682,3.6196203,3.7474432,3.7535138,2.7405362,3.7123055,4.0723505,3.2315865,3.1983767,4.243661,3.8935237,3.090973,3.2898698,3.1036005,3.338639,4.459599,4.280787,3.4265401,3.868763,3.7222776,3.902487,4.329884,4.182584,4.9103174,4.172529,4.3540573,4.054681,3.4791653,3.69339,3.8744385,3.7366946,2.9125304,4.8769226,3.8732142,3.5621476,3.932036,3.161518,4.1426086,3.1392293,3.4626694,3.7931228,2.984592,4.189722,3.5509875,4.152916,3.4452343,3.2187555,4.2667227,4.7812357,3.5225024,3.7176986,4.0666046,3.320939,3.586093,4.1014285,4.2712297,3.5649774,3.214277,3.5327091,3.5672798,3.6613603,4.624437,3.7172642,3.4492657,4.376109,3.8822994,4.3334494,3.8454978,3.42542,4.256733,3.5762756,3.110674,3.9948368,3.4075127,3.4550471,3.0627098,3.3850574,3.1324916,3.9888825,4.8829517,3.4484181,4.5996895,4.9201145,3.8606274,5.055232,3.2084045,4.441107,4.054121,3.794259334291731,0.5240797806031652
43,sm6-6_cation->neut,3.03,1.6264434,1.5019302,2.9604466,2.53248,2.1731262,2.533545,1.8861513,1.4995937,3.1324975,2.9013667,2.190239,2.3511777,1.9177151,2.2449355,2.2710757,1.7634401,1.0864048,2.0519466,1.9911714,2.7588294,2.4627304,2.8091822,2.0500994,3.2007227,1.9062781,3.7306066,1.5168257,3.22556,3.0869467,2.6147363,2.349679,2.0355377,2.6939516,2.2486844,3.1019473,2.4308014,1.6338992,2.457701,1.6133308,2.1633012,2.145701,1.7723951,2.0244832,2.9014163,2.3752718,1.6073031,1.8617868,2.3473725,2.287701,1.4300027,2.79542,2.1882946,2.611236,2.0886416,1.6279554,1.4851284,1.8313208,2.0587544,2.5877469,2.1726675,3.1710758,2.5653932,1.0846567,3.388043,2.6221387,2.1155703,1.1423745,1.866322,2.0883024,2.3402202,1.5649786,2.4983203,2.258474,2.01702,2.4986703,2.5033085,2.1761768,2.2163877,2.5380147,2.2990227,2.77903,3.2424915,2.4815784,3.325552,3.013664,1.4824586,2.9074018,2.2209084,2.710545,2.7932117,2.306032406419188,0.5546870588331856
44,sm6-6_neut->an,11.74,13.302928,12.249326,12.0063305,11.914152,10.808156,13.765186,9.808083,12.661829,12.523876,10.848537,12.326564,11.441875,10.504463,11.695622,10.841665,12.058139,10.467923,12.65938,10.531239,10.605721,12.681052,11.981959,11.539062,10.582312,10.958255,11.383298,12.6819725,13.252618,12.16843,12.066467,12.840282,11.476881,10.810361,10.780348,10.385298,12.998488,12.798061,12.593236,11.888449,10.845686,11.302629,11.69728,10.75392,10.092503,13.2613535,12.378275,11.2923,12.461621,11.040126,11.025535,9.99461,10.856841,12.567968,10.827358,11.0782385,12.793823,11.057419,11.019539,12.566598,10.793897,11.785845,13.069013,11.975126,10.313477,12.090746,11.129343,13.08529,13.128129,11.064101,12.55069,11.476747,13.107536,11.65572,11.45561,12.175785,11.443217,12.575299,10.610476,12.980713,11.646265,10.767746,10.212291,11.181282,11.212061,10.506571,10.865121,11.231554,10.454432,10.0306225,9.4027195,11.599108478420384,0.9663899160745891
45,sm6-7_cation->neut,6.08,5.642173,6.339658,5.3192086,5.816288,6.0909657,5.333446,5.4164567,7.051652,6.241521,6.489949,6.976276,5.353542,6.0612764,6.437935,5.8055744,6.8460813,5.9184823,7.12846,5.9828625,5.5716906,5.816974,6.7109523,5.8461504,5.9533043,5.9827695,5.761772,7.0142384,5.6569448,5.797234,5.963639,6.6474056,5.9308825,5.9375,5.753376,6.342755,6.319232,6.3040824,6.3817554,6.481252,5.7123213,6.2872915,6.088278,5.97066,5.7502913,6.5935555,6.3914914,5.610991,6.279071,6.0676394,5.613881,6.8187866,5.951832,5.869408,6.0373564,6.21343,6.2109566,6.0559616,5.656214,6.0635557,5.9311876,5.7375507,5.9344316,6.3432097,6.0237727,5.341173,5.3629565,6.3220053,6.5235624,6.078334,6.218569,5.9982176,6.0736446,6.138032,6.5847635,6.9195952,5.4659014,6.2393656,5.799259,6.411574,5.8032827,6.6618376,6.127332,6.0342298,6.7078295,6.6670494,5.85414,6.81861,6.004018,6.3769264,6.5374565,6.118555022648402,0.42275839417789923
