,compn,exp. pKa,pKa predicted by models:3-3,pKa predicted by models:3-9,pKa predicted by models:3-8,pKa predicted by models:3-5,pKa predicted by models:4-2,pKa predicted by models:4-3,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:3-0,pKa predicted by models:8-9,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:5-2,pKa predicted by models:4-7,pKa predicted by models:3-1,pKa predicted by models:4-6,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:4-0,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:4-1,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:9-2,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:9-3,pKa predicted by models:6-0,pKa predicted by models:9-9,pKa predicted by models:8-4,pKa predicted by models:9-8,pKa predicted by models:10-2,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:9-5,pKa predicted by models:10-3,pKa predicted by models:10-9,pKa predicted by models:6-1,pKa predicted by models:10-8,pKa predicted by models:9-4,pKa predicted by models:7-0,pKa predicted by models:9-7,pKa predicted by models:10-5,pKa predicted by models:9-6,pKa predicted by models:10-4,pKa predicted by models:10-7,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:10-6,pKa predicted by models:9-0,pKa predicted by models:8-1,pKa predicted by models:10-0,pKa predicted by models:9-1,pKa predicted by models:10-1,consensus,std. dev.
25,sm11-23_cation->neut,3.16,1.3681135,1.7273068,2.219861,1.3374887,1.826705,1.5299382,1.6705775,2.4521601,2.454019,1.4614215,2.212163,1.5940547,3.062489,1.4356208,1.7235575,2.1654868,1.1762028,2.1005821,1.3989224,2.295195,1.1290898,2.4535983,1.6868353,1.6236157,1.7862649,1.3378503,2.1192403,1.3516593,1.9356313,1.9306824,2.7823248,1.5598922,1.2909822,1.361187,1.3731241,1.266645,2.1232958,2.0170574,2.1344256,0.7911062,2.2074697,2.4068117,1.9172392,1.204309,1.7073317,2.1765,1.7806778,1.1853566,1.7220087,1.6250348,1.4703035,0.8927655,1.2845726,1.4247174,1.3237977,1.9178064,1.7314,1.7721715,1.9573622,1.6772003,1.3025289,1.560678,2.061473,0.8326888,1.8679447,2.100113,1.0691144,1.4092507,1.2810488,2.0879614,2.1030598,1.6028671,1.0598254,0.60774326,1.9200151,1.4809756,1.1623755,1.1705575,0.79015636,0.74390745,1.6793270954084984,0.5050215805005954
26,sm11-24_cation->neut,7.63,6.9982667,7.681198,7.384408,6.996188,7.8248415,6.3862195,7.8450975,8.073852,7.2306223,7.6548986,8.155384,7.110939,7.2187877,7.283205,7.645009,7.873664,7.156295,7.932322,7.284396,6.5147552,6.384485,8.362888,7.0613685,7.398937,7.72624,7.6590586,7.2387533,7.3168726,7.39396,6.644305,7.648396,7.5497923,7.3998322,7.4812517,7.254383,6.322663,7.286665,7.935704,7.720275,7.1353364,6.777434,7.4865074,7.6071863,6.820833,6.6467686,7.8961296,7.2524385,7.3719234,6.9124546,7.3021975,7.247696,7.1371346,7.111249,6.810003,6.9428687,7.815153,7.6391344,7.155204,7.899175,6.692745,7.693606,7.227714,7.5718055,7.6255603,7.6885023,8.094974,7.3682284,7.7933655,7.6333284,6.8799734,7.6272454,7.821068,7.4387593,7.5055175,6.9717374,7.2665787,7.0788813,7.7845807,7.139852,7.42658,7.369921105938193,0.42588542830104237
27,sm11-25_cation->neut,5.75,5.386633,6.144306,5.3142705,5.3512216,5.9229116,5.2686424,5.8404684,6.162927,5.8049593,5.773973,5.826232,5.645362,5.823834,5.893793,5.8964496,6.7902174,5.6319647,6.4764776,5.2958136,6.4670386,5.220866,5.8063173,6.068492,5.600186,6.4579754,5.3618875,5.7139997,5.374567,5.628711,6.235882,5.976427,5.7873645,5.6030135,6.056959,5.3748074,6.0695367,5.3681445,6.228677,6.144383,5.4784575,6.0770903,6.3678064,6.100861,6.0098696,5.515551,5.6378317,5.65074,5.29913,6.071259,6.2032585,5.204025,5.550149,5.705571,5.5732903,5.995408,6.0244703,5.032204,5.7472215,5.4413757,6.2044277,5.952175,5.269671,5.8020434,4.8847723,5.316472,6.4444857,5.500316,5.545761,5.6024904,6.7636833,5.8308134,5.385276,5.6489105,5.497561,6.2882576,5.883506,5.2970634,5.445274,5.6437654,5.689386,5.767004607636252,0.388188084902869
28,sm11-26_neut->an,9.24,9.607347,10.173988,9.047972,9.485882,9.594919,9.148567,9.301285,9.791468,9.930213,9.118982,9.92811,9.264708,9.73913,10.535201,9.074194,9.665781,9.228432,9.913437,9.374703,10.163217,8.746988,10.693629,8.559934,9.159946,9.388319,9.6183195,9.371954,8.1820545,9.730439,9.788954,10.620979,9.00997,9.309907,9.37657,9.901724,9.289753,9.649061,9.971857,10.278585,9.282164,9.676369,10.094374,8.803083,9.318972,9.2352295,9.568567,8.795812,9.992502,9.092787,9.006016,10.273285,8.631377,9.443819,9.897222,10.277645,9.844975,9.382818,9.281126,9.842355,9.808748,8.505354,9.681576,10.117334,9.734908,8.690126,10.412469,10.044943,10.433095,8.413532,9.5736885,10.2488785,9.777939,9.878076,10.197664,9.592264,10.329924,9.727401,9.751573,10.252642,10.357834,9.59564128028022,0.5413820458064411
29,sm11-27_cation->neut,4.47,4.259347,4.4273753,4.856449,3.749133,5.206456,3.1545544,5.096298,4.797142,3.8862007,4.5033426,3.8481092,5.270458,3.8814387,3.7304869,3.9341364,4.592263,4.7523046,3.9786696,5.2047687,4.9931192,4.2792873,4.1568956,4.8377304,3.6434379,5.0367637,4.757581,4.492363,4.830156,4.491058,4.2418566,4.266425,3.5814533,3.986001,4.836259,5.3557777,4.6553288,4.313176,4.6664696,3.747861,3.8464184,4.5684266,4.6290436,4.6146283,4.659477,4.174944,4.6512394,4.0064573,4.602704,4.447941,4.531929,4.344516,4.05787,4.774204,5.422564,3.6427078,4.00914,3.6480775,4.5691223,4.3484645,3.6416073,4.945519,4.011482,3.7674832,4.9774685,4.407242,4.3970423,5.347147,5.0596952,4.0715475,4.67628,4.7112083,4.5700474,5.721289,5.0919776,4.771448,5.485336,5.3921785,5.667654,5.46534,4.840001,4.510330894493762,0.5507961125272829
30,sm11-28_cation->neut,5.95,5.6795816,6.078821,5.8544703,5.8191204,5.470389,5.090127,5.6013002,5.993108,6.0173764,5.5696645,5.3035073,6.235616,5.9925413,5.0600095,6.0190306,6.1349654,5.512993,6.522296,5.495117,5.7705116,4.622039,5.713066,5.2960167,5.8236976,5.348279,5.544882,5.3993134,5.6061687,5.757846,6.28594,5.1245694,5.736898,6.2913876,5.2706585,5.971629,5.552668,5.7260523,5.85415,5.7087383,5.5000324,6.539265,6.414834,5.394759,6.3977876,5.137866,5.987491,5.929933,5.4742484,5.9264946,5.1760874,5.2395744,5.6681237,6.263313,6.7311134,5.4976974,5.5003986,5.3518395,5.5654526,4.474459,6.3374047,5.9335814,5.295942,5.683421,5.5593014,5.8173475,5.886352,6.4629993,4.987439,5.645063,6.3997335,5.839219,4.6788025,6.625376,5.2807083,6.3395634,6.6053815,4.9078655,7.0617723,4.746454,5.030581,5.717279318821283,0.5114057493009715
31,sm11-29_neut->an,3.28,3.3558707,3.526957,3.813424,3.2365074,3.6461987,2.9561925,3.9958806,2.7841063,3.6765552,3.3178248,3.751916,3.9872499,4.252277,4.019395,3.6777453,3.1318007,3.8714662,3.4859488,3.719551,3.6193256,3.3827477,3.5246181,3.7001495,3.397469,3.997518,3.6935258,3.2738013,3.587068,3.6640756,3.5556173,4.058456,3.9088826,3.4022074,3.533227,3.534062,3.9735062,3.404944,3.1591768,3.473143,3.5812569,3.3249679,3.6907105,3.4019413,3.183167,3.7329993,3.3927555,3.8115497,3.0991888,3.3705273,3.7859492,3.6535435,2.9625683,3.9554334,3.6169243,3.8507433,2.8993325,3.587349,3.4789202,3.5662096,3.245265,3.7684464,3.8095932,3.9148765,3.5326066,3.885756,3.448309,3.4110498,3.6775389,3.5073214,3.575017,3.7048953,4.465399,3.578129,4.0694904,3.3594522,3.828175,3.3775845,3.485972,3.551055,2.7974467,3.5712321485119096,0.31292493683638706
32,sm11-30_neut->an,7.89,8.590152,7.596142,8.555331,8.012434,7.9569807,8.819006,8.174467,7.793251,7.336491,7.7485895,8.302137,9.232496,7.614772,8.180432,7.914789,7.5135307,7.857643,8.3938055,8.199895,8.417867,9.104496,8.322742,8.999957,8.196104,8.502205,8.090511,7.288675,9.294405,8.396913,9.074806,8.619974,7.9565067,8.383873,8.790387,7.9665875,9.172047,7.6512547,8.559613,8.360376,8.412025,7.8762565,7.504492,8.426994,8.991755,9.450221,7.7759295,8.66698,8.067676,7.72912,8.65673,8.313053,8.065666,8.580557,8.369808,8.20195,7.865746,7.7887273,8.900897,7.8267307,8.0267935,8.244231,9.257906,8.6711445,8.432777,8.121176,7.883188,7.9746265,8.125427,8.1262455,8.708126,7.8208656,8.24393,8.504299,7.9334126,8.126247,8.756955,7.9544535,8.470024,8.08185,8.232481,8.271594066855348,0.4718904110640431
33,sm11-31_neut->an,2.87,2.4737697,3.4311876,3.3752646,2.5311513,3.2097178,2.802534,3.4223976,2.227291,3.1451674,2.8648186,3.44344,3.4770913,3.743703,3.5810413,2.6704884,2.3577814,2.6517859,3.0214925,3.0624294,2.6612701,2.572194,3.4726186,3.0922928,2.8931074,3.1618004,2.972135,2.136478,3.0401583,3.1251554,2.5647888,4.2207017,3.2970223,2.3801842,2.5548434,2.5702515,3.121704,2.9212904,2.831738,2.8740888,2.7502017,2.3264852,3.589652,2.550187,2.3192143,2.8647575,2.5049481,3.064218,2.7244706,2.5534978,2.7584772,3.3457925,2.508031,3.1879306,3.1950655,3.2788978,2.9294562,3.5326982,2.4598322,3.0918841,2.5728664,2.9523401,2.736341,3.3900247,2.7420015,3.39605,2.6275425,3.2962224,3.261158,3.4091346,2.7583833,3.0717156,3.7917376,2.9060607,2.9554372,2.66777,3.1940856,2.874751,3.1117926,2.7737422,2.7689328,2.958273624137596,0.3974587634357783
34,sm11-32_cation->neut,6.64,7.599387,6.855548,7.427862,7.2934213,7.4021397,7.148489,8.02919,8.411585,8.122845,7.358082,7.133149,7.9579673,7.7947946,7.0985293,6.7701025,8.409465,8.156959,8.621462,7.0238466,8.259045,7.1296577,7.8506637,7.8735304,7.297242,8.257904,7.915243,7.846853,7.8867044,8.176646,7.4558535,7.9889555,7.931795,7.1659,8.106026,7.8658295,7.179898,6.8625913,7.562106,6.5104456,7.8063583,7.8509073,7.217486,7.268307,7.5366087,6.7745504,7.9412584,7.403174,8.04121,7.65971,7.209082,7.3002234,7.4807634,6.921366,7.908694,6.347736,7.2474647,7.250018,7.1145988,7.707304,8.162556,7.787646,6.733327,6.6373863,7.3731594,7.891747,7.5927467,7.665428,7.7391853,7.3205757,7.9572964,7.787278,7.7299275,7.774191,7.57721,7.7959137,7.855964,7.0795364,7.3151436,7.2839785,7.513094,7.542442270443763,0.47570433507780613
35,sm11-33_cation->neut,6.79,7.249129,7.100708,6.4967203,6.540414,6.4045787,7.4481897,6.766636,7.251931,7.4733915,7.088064,7.2460356,6.3961787,6.054845,7.293523,6.85845,6.974507,6.604167,7.364915,5.7657995,6.673398,6.570122,7.4994006,6.266081,6.664756,7.2570395,6.348314,6.5436034,6.9377413,6.7070007,7.15564,6.901802,6.4698706,7.4653006,6.987981,5.6677923,7.7285204,6.1320305,7.5487003,7.389211,5.638238,7.336004,6.9696236,7.303975,7.3003798,6.8650656,6.754595,6.6097746,7.1896963,7.4637923,7.1851892,5.6135635,6.991768,7.3375206,6.549424,6.761714,7.06512,6.1458178,7.380891,6.5298014,7.4716287,7.021059,6.583442,7.093393,6.600298,6.015663,6.3843765,6.628084,6.5020285,6.671483,7.830353,6.52155,6.61483,6.633337,5.946515,7.8007655,7.294086,5.711527,7.128964,5.2778788,5.6016884,6.795152976660081,0.5605950346505236
36,sm11-34_neut->an,4.04,3.5778508,4.4820423,4.6123114,3.7870545,4.73802,4.333794,4.7257853,4.867267,3.7430177,4.2202506,3.9166784,4.5685143,4.9969964,4.3797293,4.5434685,4.451445,4.077153,4.105559,4.7530217,4.2767487,4.0286527,5.0501356,3.9679909,4.134268,4.563826,4.046804,4.6874666,4.127328,4.2269,4.6394815,4.5907016,4.2378945,4.345393,4.719555,4.4744587,4.6693873,4.9184556,3.519528,3.9590564,4.5754733,3.9346375,4.559279,4.602306,4.5706983,4.6822343,4.5343275,4.665039,3.9230747,4.266198,4.4946604,4.392668,4.1624923,4.495802,4.3086357,4.3893294,4.345687,4.2532444,4.7773056,4.0405817,3.9273195,4.870796,4.1982718,4.9224524,4.7739983,4.4278655,5.306239,4.5256023,4.0514464,4.9649596,4.8269,5.276373,4.366212,4.459198,4.841481,4.472766,4.5678587,4.219494,4.72614,5.024267,4.989179,4.442178832631051,0.36915250634990443
37,sm11-35_cation->neut,6.3,7.2497883,6.425613,6.3137093,6.556138,6.510486,6.6118007,6.9977026,7.1174803,7.03172,6.7338886,6.367017,6.291341,6.1785083,6.8522444,6.4312754,7.3292,6.6201043,7.112783,6.3831596,6.488832,6.310979,6.6559873,7.050181,6.2059393,6.5693126,6.048208,7.30756,6.77746,6.4609566,6.3840647,7.1521387,6.583272,6.187845,6.810753,6.702895,6.7039866,7.561985,7.3551855,6.427924,6.304141,6.465968,6.3018026,6.75527,6.31136,6.606888,7.425704,6.3465247,7.4748,6.02034,7.015344,7.0941296,6.4110885,6.835034,6.870984,6.644989,7.258848,6.2558527,6.6439705,7.0598187,6.440325,6.096753,6.880932,7.21107,6.532258,6.1959333,7.6598244,6.4146166,7.4469695,6.21626,6.657864,7.285726,7.184202,6.0253663,7.0579624,6.814044,5.948095,6.747546,6.24854,6.900047,6.7425003,6.690976758650791,0.41250633918396107
38,sm6-1_neut->an,9.53,9.461824,10.333018,9.983009,10.235938,10.255641,9.62109,10.642727,9.501172,10.278004,9.058799,10.479188,10.372755,10.1347065,11.09349,9.631418,9.636078,10.10199,10.15063,10.087635,9.81453,9.529055,11.123523,10.37017,9.865447,10.435855,10.212448,9.801994,9.756147,9.888842,9.665561,11.573232,9.907581,9.832888,10.584649,9.693459,9.712225,10.050853,9.811785,10.230661,10.124931,9.211395,9.975443,9.708524,9.622372,10.395948,9.947222,10.138513,9.697742,9.099023,9.908876,9.638709,9.7542,9.872269,10.554321,11.000147,10.053456,10.007418,9.809655,9.987559,9.095168,9.655229,10.244833,11.087189,9.433275,10.090769,10.080993,9.994498,9.642677,9.701092,9.047371,10.556361,10.042428,10.13497,9.495708,8.990643,10.452269,9.415417,9.810448,9.968786,9.24612,9.964740532769097,0.49014138020668724
39,sm6-2_cation->neut,5.03,5.6701317,5.355547,4.3701105,4.8300323,5.4141555,5.189051,4.3477664,5.52941,5.250807,5.075395,5.9825807,5.5111394,5.339672,5.6762357,4.7924247,5.3935766,4.781603,5.5903616,4.988065,5.0068703,5.6386704,5.858449,5.453705,5.228037,5.030092,5.5071974,5.516193,4.464808,4.8187857,5.151024,5.866942,5.283431,4.595277,5.0109973,5.1655865,5.5528417,5.2595515,5.3733416,5.4265614,5.0981865,4.643105,6.0108714,5.1599727,4.71519,5.995982,5.3373413,4.460379,4.9297147,4.6587996,4.9159064,5.048073,4.629735,5.464831,5.8424163,5.5133815,5.7299933,4.9499855,4.8527093,4.666249,4.806076,4.719082,4.722857,5.4028134,4.236785,4.968545,5.57887,6.0292587,4.669473,4.8372564,5.90818,5.107825,5.388156,6.11155,4.7755346,4.312796,6.1093636,5.058812,6.1983314,5.944023,5.2516174,5.210943867012306,0.47645032604776755
40,sm6-3_neut->an,7.02,8.412821,7.5277257,6.8156676,6.81757,7.0879126,7.9311314,6.568347,6.835166,6.890722,5.817545,7.220021,6.598615,6.7202635,6.6328406,7.185935,6.780034,6.401422,7.5283856,7.2016144,6.8950706,7.3761306,7.448707,6.298189,7.4070683,7.4355617,6.591419,6.339361,7.876419,6.8255267,6.165243,7.308092,6.2073035,7.534479,7.1340714,7.497595,7.8595395,7.4443984,7.8613343,7.061201,6.628396,6.474787,6.61765,8.082459,7.5598574,8.105742,7.4746714,6.758143,7.34519,6.8494387,7.9585896,6.615932,7.583057,7.965581,5.8800097,6.7311954,6.9576015,6.3505955,7.6492624,6.8193016,6.1008015,6.8722105,8.719075,7.393539,6.9602747,6.7608156,7.1331754,6.8620887,7.3926296,7.2073774,6.509284,7.342842,7.616934,6.548151,7.472451,6.474285,6.85834,6.7949095,6.5403347,6.959798,6.352976,7.059755602236147,0.5729794688068853
41,sm6-4_cation->neut,6.02,6.3376503,6.199499,5.890374,5.6291423,6.5338926,5.974943,6.5121946,6.162563,6.740841,6.0653906,7.1051216,6.1219187,6.237254,6.239071,6.2873964,7.0523224,5.756608,7.5220413,6.139314,5.987381,5.781034,6.3810186,6.3313036,6.0279975,6.216125,6.501358,6.449616,5.7838774,6.3821,6.024252,6.8285522,6.306136,5.582418,5.9699287,6.362006,6.712595,6.3185606,6.9138412,6.6356974,6.325776,5.8182025,6.0515523,6.8688517,5.617872,6.6223335,6.158916,5.5552316,6.5470314,6.1296926,6.131627,5.9787765,5.561963,6.2650914,6.4870424,6.591377,6.700972,6.237414,5.801857,6.281988,5.74218,5.558901,5.87805,6.6532598,5.2464323,6.2573643,6.6150546,5.937217,6.0621414,5.769705,6.5747933,6.362089,6.3292956,6.3544426,5.8217163,5.9074507,5.8273244,6.363838,6.406088,6.6721735,6.4856853,6.229408729459032,0.4016144354917525
42,sm6-5_cation->neut,4.59,3.9980159,2.840868,3.294632,3.6198466,3.7447214,3.7544541,2.7346945,3.71312,4.0707326,3.2274203,3.1911979,4.2437305,3.8990674,3.0863428,3.2887125,3.1045856,3.330301,4.4599466,4.282483,3.4344046,3.8698134,3.7166262,3.9036055,4.324774,4.17673,4.9147596,4.172504,4.3530617,4.055779,3.4698076,3.6984982,3.8672729,3.7448337,2.9093094,4.8773575,3.8744144,3.5618696,3.9365215,3.1566563,4.1369514,3.1340423,3.4649673,3.7918572,2.9827728,4.1894274,3.5461135,4.138043,3.4470062,3.2221668,4.26649,4.783532,3.527281,3.7185566,4.0662837,3.3126392,3.5857978,4.101116,4.279393,3.56668,3.2126057,3.5386853,3.5658982,3.6577992,4.627965,3.7085993,4.3750405,4.3340764,3.8456793,3.4258463,3.576925,3.4545918,3.3765497,3.9759197,4.883016,3.4416027,4.612602,4.9182687,3.8487039,5.051877,4.444252,3.8226060966209134,0.5286678011805063
43,sm6-6_cation->neut,3.03,1.6307673,1.5046883,2.9527695,2.5341182,2.1749458,2.50833,1.8866081,1.5036268,3.139854,2.8740435,2.1898842,2.3429108,1.9098153,2.2574282,2.2829885,1.7672405,1.0842419,2.0514312,1.9911942,2.7487504,2.4500651,2.813719,2.0558991,3.1932046,1.9151688,3.7092106,1.513763,3.219247,3.0878935,2.621133,2.3534465,2.039547,2.6887705,2.2509913,3.1224682,2.4331865,1.6306787,2.4618592,1.6172209,2.167359,2.1423976,1.7631626,2.0157244,2.9038525,2.3834262,1.5972276,1.8738003,2.3424454,2.2879174,1.4276114,2.7957523,2.1911926,2.6177225,2.0947802,1.6351357,1.4748144,1.8193927,2.058532,2.5789328,2.182416,3.177761,2.559233,1.0955715,3.411134,2.630644,1.1412153,2.076362,2.3275766,1.5729332,2.2567518,2.1680067,2.5378518,2.80796,3.2508347,2.4759254,3.3061976,3.0296097,1.4817629,2.8978057,2.720149,2.3064443362200704,0.580548780307667
44,sm6-6_neut->an,11.74,13.30229,12.247026,11.997692,11.91397,10.811938,13.7597475,9.811944,12.668615,12.529654,10.862556,12.335428,11.439767,10.504639,11.696986,10.83839,12.048969,10.468416,12.661701,10.529928,10.608372,12.668949,11.991656,11.549341,10.5819645,10.966958,11.379745,12.678985,13.2462015,12.167267,12.058582,12.8508415,11.481566,10.805545,10.77986,10.378545,13.0009365,12.801685,12.596681,11.914152,10.8562565,11.297289,11.702209,10.75374,10.085808,13.258009,12.374426,11.292358,12.4620695,11.043463,11.027565,9.979754,10.843428,12.5684,10.840557,11.086037,12.784013,11.046996,11.022516,12.572607,10.794524,11.767691,13.069237,11.986431,10.308826,12.072082,13.088392,11.064018,12.552065,11.453796,11.661084,12.574802,12.981078,10.780203,10.210769,11.184139,11.217066,10.511461,10.872595,11.230438,10.026585,11.617065138169277,0.9468925915450763
45,sm6-7_cation->neut,6.08,5.641255,6.332282,5.3215723,5.8122487,6.0859485,5.3324327,5.413694,7.046631,6.2441616,6.4859357,6.967378,5.3563476,6.058981,6.4301386,5.8007946,6.8414693,5.9207735,7.129138,5.979032,5.5704226,5.8176384,6.704731,5.8456154,5.9473085,5.9775863,5.7624083,7.007943,5.6571474,5.797039,5.963627,6.642806,5.930155,5.933957,5.752899,6.345151,6.317793,6.3024635,6.379628,6.4771137,5.71072,6.2880726,6.0842686,5.967498,5.746523,6.590863,6.390835,5.609973,6.278969,6.062132,5.6122413,6.817644,5.948889,5.8690977,6.0347633,6.2104583,6.2102995,6.054599,5.6552486,6.0646324,5.9261146,5.732854,5.9343615,6.336172,6.0236444,5.342929,6.3232236,6.073979,6.2161245,5.9964952,6.135235,6.239711,6.408148,6.658003,6.13062,6.0312595,6.7125463,6.6708965,5.8544707,6.8223915,6.3789277,6.118141728624885,0.4129367582332492
46,sm6-8_neut->an,4.22,2.6935964,5.0636573,3.6446767,4.11818,3.4776564,3.5327444,4.195393,4.46947,4.3193736,4.3721642,4.6764884,4.52135,4.445261,4.76748,4.14458,3.9931002,3.2539759,4.0173635,4.3237305,4.033309,3.239911,4.556801,4.0860763,3.6003885,3.5123205,4.5748506,4.39048,3.7918253,4.1079187,3.7457342,5.0644674,3.9365077,3.8533545,2.9988408,3.8305607,3.82092,3.9117537,4.1036215,4.477421,3.5684934,3.9237242,4.4301796,3.516406,3.2054925,3.7567954,4.608788,4.2219157,4.342491,3.7438068,3.4708037,4.0684934,3.8918042,3.9610262,3.7269526,4.990953,4.1224966,3.9432106,3.0279827,4.5880423,2.9881182,3.8563023,3.4117994,4.7582726,3.6721315,3.658473,4.439805,3.8570888,3.9698987,3.7690606,4.061221,4.8433824,4.4117875,3.798472,4.025549,3.3002768,3.7946482,4.1819363,3.609249,4.700794,3.696259,3.9975516880883113,0.49481711967390396
47,sm6-9_cation->neut,5.37,4.9924593,5.319885,5.5087996,4.977944,5.5782876,5.028263,5.5957174,5.1304026,5.300168,5.633579,5.7108064,5.0362225,4.7775273,5.727621,5.292319,5.4369054,4.9754314,4.8330836,4.7485857,4.934532,5.4616604,5.837225,5.801949,5.186563,5.217055,5.2896442,4.8741508,5.4159904,5.148081,5.3319483,6.2373676,5.7602873,5.3953047,5.2751484,4.8843293,5.4177313,5.0770493,5.602503,5.6989202,6.048421,5.0484285,5.8693867,5.4081798,5.6330476,5.87761,5.2894545,6.1039,5.427985,5.270483,5.604884,5.170902,4.918435,6.0227995,4.9090395,4.895892,5.24771,5.8732343,5.1751976,5.510929,5.024292,5.393497,5.2740808,5.4227443,4.722695,5.8064556,5.1763577,5.621109,5.818571,5.1132755,5.422204,5.1108303,5.560989,5.4715405,5.4011145,4.83698,5.876918,5.449895,4.653498,5.923581,5.1244287,5.362128683019567,0.3585105253795768
48,sm6-10_neut->an,9.02,9.814691,8.534703,9.868637,10.544698,9.128677,9.251081,8.045866,9.645919,8.839498,8.815524,9.456467,9.200669,8.821987,8.9611,9.714392,8.418044,8.620921,8.977128,9.187206,8.7008705,9.041162,9.374937,8.491121,8.933385,8.581332,8.916479,8.7892,9.154273,8.582852,8.299313,8.942118,9.259038,9.700178,9.074209,8.227243,9.523716,8.347707,9.585402,8.979095,9.214279,8.684319,9.274901,9.462722,9.552539,9.381426,8.61504,9.310357,8.89043,8.132867,9.370664,8.625451,9.515771,9.206039,9.665789,9.382879,8.586361,9.047374,9.226753,9.1073675,7.404308,9.712536,9.3492775,9.910973,8.488664,9.097275,9.03491,8.966606,9.534455,10.231828,8.274059,8.898325,9.762365,8.935168,8.241133,8.60527,9.661888,8.213088,9.807862,8.8834505,8.502382,9.05111099784757,0.5376918704111694
49,sm6-11_cation->neut,3.89,3.8539743,4.1780834,3.5406814,2.912716,4.384352,4.013593,3.8991423,4.8664713,4.913438,4.2840133,4.565971,4.1426725,3.4557128,3.8616304,4.044442,4.06925,3.760189,4.1498933,3.4007359,4.759998,4.0330343,4.591163,4.1012955,3.540753,3.5452137,3.7561107,4.104354,4.20141,4.5304337,4.1774697,4.5858874,3.9988344,3.3788328,3.3387933,4.4136076,3.8763194,4.1871276,4.1599236,3.9679127,3.9750228,4.0685697,3.4376202,3.421944,3.8235016,4.6489553,4.238732,3.3509111,4.1652956,3.6683,3.6332307,4.3473825,3.8517697,4.38055,3.7887836,3.6362185,4.539611,3.9593492,4.0908604,4.152386,4.1324806,4.2675877,4.013255,4.236197,4.0222054,4.132226,4.7693624,4.2852616,4.2366085,4.271017,4.140229,4.0614967,4.289724,4.1440754,4.4533033,4.680463,3.8600018,4.3005953,4.35128,4.4724073,4.177533,4.07298444689056,0.3856111740877856
50,sm6-12_cation->neut,5.28,4.5231867,5.2816467,5.485732,4.777911,5.627888,4.454877,5.383908,5.925206,5.358117,6.0330367,5.975358,4.9369545,5.224923,5.6461544,5.597478,5.4741325,5.0016317,5.0891147,4.7421565,4.4579115,4.348389,6.7703605,5.578466,5.2707167,5.168841,4.9954357,5.2471457,5.5098524,4.89563,5.3253126,5.8385434,5.830693,5.28905,5.1987906,5.2305346,5.1259394,5.6483784,5.2987776,5.904243,4.992641,4.730291,5.8388305,5.3805385,5.176883,5.3903537,5.80995,5.0919795,5.091662,5.3031654,5.1855416,5.1595755,4.686142,5.3506827,5.1018906,5.3841267,6.0898914,5.7175107,5.0342994,5.2815065,4.761167,5.3117294,4.3991294,6.030254,4.7092347,5.231448,6.286554,5.1198835,5.788437,5.3363333,5.4126577,5.434741,5.318233,5.242631,4.891874,4.785696,5.7618804,4.6663446,5.1509523,4.770287,4.5101876,5.277401727276083,0.45598961781502495
51,sm6-13_cation->neut,5.77,5.6475477,5.341321,5.113385,5.8708024,5.977246,5.9037237,5.1917605,6.5719776,6.2070923,5.443777,5.829914,5.8559933,5.2763143,5.8942065,5.940266,6.1288586,5.2119637,6.4270763,5.757307,5.2416925,5.8407097,6.102434,5.488248,6.2899632,5.9905086,5.719113,6.165363,5.760072,6.4797535,5.4741592,6.3791046,5.55554,6.06065,5.671477,6.0457296,5.399674,5.4577675,6.4419556,5.918891,5.2925167,5.026737,5.2365627,5.623028,6.3068023,5.736189,5.150747,5.9531093,6.5041685,5.364133,5.807787,5.5516844,5.942815,5.4870567,4.8990054,5.5118694,5.605547,5.8192616,5.672388,6.1310596,5.258376,6.6009755,5.3276315,5.6398597,5.3218193,5.3322983,6.1259675,5.3694143,6.24579,6.287405,5.7785935,5.9152527,5.8733387,5.718451,5.4439983,5.394332,5.56091,6.1371903,5.103617,6.2221785,5.6057487,5.749740176966161,0.40180947724506894
