compn,pKa,correct name,reference,smiles,smarts,inchi,inchiKey
7methyl159triazabicyclo550dodecane_cation->neut,9.7,"7-methyl-1,5,9-triazabicyclo[5.5.0]dodecane",10.1021/ja030236d,['[H]N1C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C2(C([H])([H])[H])C1([H])[H]'],['[#7]12-[#6@](-[#6@@](-[#7](-[#6@](-[#6@@](-[#6@]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[#6@@](-[#7](-[#6@](-[#6@@](-[#6@]-2(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[#6@](-[H])(-[H])-[H]'],"['InChI=1S/C10H21N3/c1-10-8-11-4-2-6-13(10)7-3-5-12-9-10/h11-12H,2-9H2,1H3']",['QCJHTUUNWJCESC-UHFFFAOYSA-N']
7methyl159triazabicyclo550dodecane_3cation->2cation,1.71,"7-methyl-1,5,9-triazabicyclo[5.5.0]dodecane",10.1021/ja030236d,['[H]N1C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C2(C([H])([H])[H])C1([H])[H]'],['[#7]12-[#6@](-[#6@@](-[#7](-[#6@](-[#6@@](-[#6@]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[#6@@](-[#7](-[#6@](-[#6@@](-[#6@]-2(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[#6@](-[H])(-[H])-[H]'],"['InChI=1S/C10H21N3/c1-10-8-11-4-2-6-13(10)7-3-5-12-9-10/h11-12H,2-9H2,1H3']",['QCJHTUUNWJCESC-UHFFFAOYSA-N']
36dichloropyridazine_cation->neut,-1.5,"3,6 dichloropyridazine",doi.org/10.1039/P29720000392,['[H]c1c(Cl)nnc(Cl)c1[H]'],['[#7]1:[#7]:[#6](:[#6](:[#6](:[#6]:1-[#17])-[H])-[H])-[#17]'],['InChI=1S/C4H2Cl2N2/c5-3-1-2-4(6)8-7-3/h1-2H'],['GUSWJGOYDXFJSI-UHFFFAOYSA-N']
36bisdimethylaminepyridazine_cation->neut,6.71,"3,6-bis(dimethylamino)pyridazine",doi.org/10.1039/P29720000392,['[H]c1c(N(C([H])([H])[H])C([H])([H])[H])nnc(N(C([H])([H])[H])C([H])([H])[H])c1[H]'],['[#7]1:[#7]:[#6](:[#6](:[#6](:[#6]:1-[#7](-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H])-[H])-[H])-[#7](-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H]'],"['InChI=1S/C8H14N4/c1-11(2)7-5-6-8(10-9-7)12(3)4/h5-6H,1-4H3']",['JTEUFNQZAUZEGI-UHFFFAOYSA-N']
3hydroxy6methylpyridazine_cation->neut,-0.81,3-hydroxy-6-methylpyridazine,doi.org/10.1039/P29720000392,"['[H]Oc1nnc(C([H])([H])[H])c([H])c1[H]', '[H]c1c(C([H])([H])[H])nn([H])c(=O)c1[H]', '[H]c1c([O-])n[n+]([H])c(C([H])([H])[H])c1[H]']","['[#7]1:[#7]:[#6](:[#6](:[#6](:[#6]:1-[#8]-[H])-[H])-[H])-[#6@@](-[H])(-[H])-[H]', '[#7]1(:[#7]:[#6](:[#6](:[#6](:[#6]:1=[#8])-[H])-[H])-[#6@@](-[H])(-[H])-[H])-[H]', '[#7]1:[#7+](:[#6](:[#6](:[#6](:[#6]:1-[#8-])-[H])-[H])-[#6@@](-[H])(-[H])-[H])-[H]']","['InChI=1S/C5H6N2O/c1-4-2-3-5(8)7-6-4/h2-3H,1H3,(H,7,8)']",['QZWIXLPWMGHDDD-UHFFFAOYSA-N']
3dimethylaminepyridazine_cation->neut,4.59,"n,n-dimethyl-3-pyridazinamine",doi.org/10.1039/P29720000392,['[H]c1nnc(N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]'],['[#7]1:[#7]:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[#7](-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H]'],"['InChI=1S/C6H9N3/c1-9(2)6-4-3-5-7-8-6/h3-5H,1-2H3']",['PCJNFLLDEZHKNY-UHFFFAOYSA-N']
3dimethylamine6phenylpyridazine_cation->neut,4.49,"n,n-dimethyl-6-phenyl-3-pyridazinamine",doi.org/10.1039/P29720000392,['[H]c1c(-c2c([H])c([H])c([H])c([H])c2[H])nnc(N(C([H])([H])[H])C([H])([H])[H])c1[H]'],['[#7]1:[#7]:[#6](:[#6](:[#6](:[#6]:1-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[#7](-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H]'],"['InChI=1S/C12H13N3/c1-15(2)12-9-8-11(13-14-12)10-6-4-3-5-7-10/h3-9H,1-2H3']",['XAIYYANINDXOQO-UHFFFAOYSA-N']
3dimethylamine6chloropyridazine_cation->neut,2.82,"3-(n,n-dimethylamino)-6-chloropyridazine",doi.org/10.1039/P29720000392,['[H]c1c(Cl)nnc(N(C([H])([H])[H])C([H])([H])[H])c1[H]'],['[#7]1:[#7]:[#6](:[#6](:[#6](:[#6]:1-[#17])-[H])-[H])-[#7](-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H]'],"['InChI=1S/C6H8ClN3/c1-10(2)6-4-3-5(7)8-9-6/h3-4H,1-2H3']",['APSLTSHWUCNYLS-UHFFFAOYSA-N']
3chloro6phenylpyridazine_cation->neut,-0.06,3-chloro-6-phenylpyridazine,doi.org/10.1039/P29720000392,['[H]c1c(Cl)nnc(-c2c([H])c([H])c([H])c([H])c2[H])c1[H]'],['[#7]1:[#7]:[#6](:[#6](:[#6](:[#6]:1-[#17])-[H])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H]'],['InChI=1S/C10H7ClN2/c11-10-7-6-9(12-13-10)8-4-2-1-3-5-8/h1-7H'],['BUBRFWDEAVIFMV-UHFFFAOYSA-N']
3chloro6methylpyridazine_cation->neut,0.89,3-chloro-6-methylpyridazine,doi.org/10.1039/P29720000392,['[H]c1c(Cl)nnc(C([H])([H])[H])c1[H]'],['[#7]1:[#7]:[#6](:[#6](:[#6](:[#6]:1-[#17])-[H])-[H])-[#6@@](-[H])(-[H])-[H]'],"['InChI=1S/C5H5ClN2/c1-4-2-3-5(6)8-7-4/h2-3H,1H3']",['PRORLQAJNJMGAR-UHFFFAOYSA-N']
16dihydro1methyl4methylamino6thiopyrimidine_cation->neut,-0.48,"1,6-dihydro-1-methyl-4methylaino-6-thiopyrimidine","Aust. J. Chem., 1965, 18, 559-68",['[H]c1c(N([H])C([H])([H])[H])nc([H])n(C([H])([H])[H])c1=S'],['[#7]1(:[#6](:[#6](:[#6](-[#7](-[H])-[#6@@](-[H])(-[H])-[H]):[#7]:[#6]:1-[H])-[H])=[#16])-[#6@](-[H])(-[H])-[H]'],"['InChI=1S/C6H9N3S/c1-7-5-3-6(10)9(2)4-8-5/h3-4,7H,1-2H3']",['TXKIZVBLSSHFPT-UHFFFAOYSA-N']
16dihydro1methyl4methylamino6oxopyrimidine_cation->neut,0.82,"1,6-dihydro-1-methyl-4methylamino-6-oxopyrimidine","Aust. J. Chem., 1965, 18, 559-68",['[H]c1c(N([H])C([H])([H])[H])nc([H])n(C([H])([H])[H])c1=O'],['[#8]=[#6]1:[#7](:[#6](:[#7]:[#6](-[#7](-[#6@](-[H])(-[H])-[H])-[H]):[#6]:1-[H])-[H])-[#6@](-[H])(-[H])-[H]'],"['InChI=1S/C6H9N3O/c1-7-5-3-6(10)9(2)4-8-5/h3-4,7H,1-2H3']",['XEQGJDGJYQADAA-UHFFFAOYSA-N']
16dihydro1methyl4amino6thiopyrimidine_cation->neut,0.98,"1,6-dihydro-1-methyl-4-amino-6-thiopyrimidine","Aust. J. Chem., 1965, 18, 559-68",['[H]c1c(N([H])[H])nc([H])n(C([H])([H])[H])c1=S'],['[#7]1(:[#6](:[#6](:[#6](-[#7](-[H])-[H]):[#7]:[#6]:1-[H])-[H])=[#16])-[#6@](-[H])(-[H])-[H]'],"['InChI=1S/C5H7N3S/c1-8-3-7-4(6)2-5(8)9/h2-3H,6H2,1H3']",['YKWSKMPYPYWRPZ-UHFFFAOYSA-N']
4dimethylamino12dihydro1methyl2thiopyrimidine_cation->neut,2.62,"1,2-dihydro-4-dimethylamino-1methyl-2-thiopyrimidine","Aust. J. Chem., 1965, 18, 559-68",['[H]c1c(N(C([H])([H])[H])C([H])([H])[H])nc(=S)n(C([H])([H])[H])c1[H]'],['[#7]1(:[#6](:[#6](:[#6](-[#7](-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H]):[#7]:[#6]:1=[#16])-[H])-[H])-[#6@](-[H])(-[H])-[H]'],"['InChI=1S/C7H11N3S/c1-9(2)6-4-5-10(3)7(11)8-6/h4-5H,1-3H3']",['SLSDGGYJWSXAQN-UHFFFAOYSA-N']
2dimethylamino16dihydro1methyl6thiopyrimidine_cation->neut,2,"2-dimethylamino-1,6-dihydro-1-methyl-6-thiopyrimidine","Aust. J. Chem., 1965, 18, 559-68",['[H]c1nc(N(C([H])([H])[H])C([H])([H])[H])n(C([H])([H])[H])c(=S)c1[H]'],['[#7]1(:[#6](-[#7](-[#6@](-[H])(-[H])-[H])-[#6@](-[H])(-[H])-[H]):[#7]:[#6](:[#6](:[#6]:1=[#16])-[H])-[H])-[#6@](-[H])(-[H])-[H]'],"['InChI=1S/C7H11N3S/c1-9(2)7-8-5-4-6(11)10(7)3/h4-5H,1-3H3']",['KMXKJDVIHKFCAZ-UHFFFAOYSA-N']
2dimethylamino16dihydro1methyl6oxopyrimidine_cation->neut,3.49,"2-dimethylamino-1,6-dihydro-1-methyl-6-oxopyrimidine","Aust. J. Chem., 1965, 18, 559-68",['[H]c1nc(N(C([H])([H])[H])C([H])([H])[H])n(C([H])([H])[H])c(=O)c1[H]'],['[#8]=[#6]1:[#7](:[#6](-[#7](-[#6@](-[H])(-[H])-[H])-[#6@](-[H])(-[H])-[H]):[#7]:[#6](:[#6]:1-[H])-[H])-[#6@](-[H])(-[H])-[H]'],"['InChI=1S/C7H11N3O/c1-9(2)7-8-5-4-6(11)10(7)3/h4-5H,1-3H3']",['YPOIQSAIQUUCCU-UHFFFAOYSA-N']
2amino16dihydro1methyl6thiopyrimidine_cation->neut,2.92,"1,6-dihydro-2-amino-6thiopyrimidine","Aust. J. Chem., 1965, 18, 559-68",['[H]c1nc(N([H])[H])n(C([H])([H])[H])c(=S)c1[H]'],['[#7]1(:[#6](-[#7](-[H])-[H]):[#7]:[#6](:[#6](:[#6]:1=[#16])-[H])-[H])-[#6@](-[H])(-[H])-[H]'],"['InChI=1S/C5H7N3S/c1-8-4(9)2-3-7-5(8)6/h2-3H,1H3,(H2,6,7)']",['UAHIXZLIRYOTHI-UHFFFAOYSA-N']
4hydroxy6methylaminopyrimidine_cation->neut,1.7,4-hydroxy-6-(methylamino)pyrimidine,"Aust. J. Chem., 1965, 18, 559-68","['[H]Oc1nc([H])nc(N([H])C([H])([H])[H])c1[H]', '[H]c1c(N([H])C([H])([H])[H])nc([H])n([H])c1=O', '[H]c1c(N([H])C([H])([H])[H])n([H])c([H])nc1=O']","['[#7]1:[#6](-[#7](-[H])-[#6@@](-[H])(-[H])-[H]):[#6](:[#6](:[#7]:[#6]:1-[H])-[#8]-[H])-[H]', '[#7]1:[#6](-[#7](-[H])-[#6@@](-[H])(-[H])-[H]):[#6](:[#6](:[#7](:[#6]:1-[H])-[H])=[#8])-[H]', '[#7]1(:[#6](-[#7](-[H])-[#6@@](-[H])(-[H])-[H]):[#6](:[#6](:[#7]:[#6]:1-[H])=[#8])-[H])-[H]']","['InChI=1S/C5H7N3O/c1-6-4-2-5(9)8-3-7-4/h2-3H,1H3,(H2,6,7,8,9)']",['OMVCZENBLPMWSA-UHFFFAOYSA-N']
4hydroxy6methylaminopyrimidine_neut->an,10.47,4-hydroxy-6-(methylamino)pyrimidine,"Aust. J. Chem., 1965, 18, 559-68","['[H]Oc1nc([H])nc(N([H])C([H])([H])[H])c1[H]', '[H]c1c(N([H])C([H])([H])[H])nc([H])n([H])c1=O', '[H]c1c(N([H])C([H])([H])[H])n([H])c([H])nc1=O']","['[#7]1:[#6](-[#7](-[H])-[#6@@](-[H])(-[H])-[H]):[#6](:[#6](:[#7]:[#6]:1-[H])-[#8]-[H])-[H]', '[#7]1:[#6](-[#7](-[H])-[#6@@](-[H])(-[H])-[H]):[#6](:[#6](:[#7](:[#6]:1-[H])-[H])=[#8])-[H]', '[#7]1(:[#6](-[#7](-[H])-[#6@@](-[H])(-[H])-[H]):[#6](:[#6](:[#7]:[#6]:1-[H])=[#8])-[H])-[H]']","['InChI=1S/C5H7N3O/c1-6-4-2-5(9)8-3-7-4/h2-3H,1H3,(H2,6,7,8,9)']",['OMVCZENBLPMWSA-UHFFFAOYSA-N']
4methoxy6methylaminopyrimidine_cation->neut,4.23,6-methoxy-n-methylpyrimidin-4-amine,"Aust. J. Chem., 1965, 18, 559-68",['[H]c1nc(OC([H])([H])[H])c([H])c(N([H])C([H])([H])[H])n1'],['[#7]1:[#6](-[#7](-[H])-[#6@@](-[H])(-[H])-[H]):[#6](:[#6](:[#7]:[#6]:1-[H])-[#8]-[#6@@](-[H])(-[H])-[H])-[H]'],"['InChI=1S/C6H9N3O/c1-7-5-3-6(10-2)9-4-8-5/h3-4H,1-2H3,(H,7,8,9)']",['PZKHGSBVLTUVJO-UHFFFAOYSA-N']
carbazole_neut->an,15.16,carbazole,https://doi.org/10.1016/S0040-4020(01)89212-7,['[H]c1c([H])c([H])c2c(c1[H])c1c([H])c([H])c([H])c([H])c1n2[H]'],['[#7]1(:[#6]2:[#6](:[#6]3:[#6]:1:[#6](:[#6](:[#6](:[#6]:3-[H])-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H]'],"['InChI=1S/C12H9N/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8,13H']",['UJOBWOGCFQCDNV-UHFFFAOYSA-N']
indolizine_cation->neut,3.9,indolizine,"The Chemistry of Heterocycles, Structure, Reactions, Synthesis, and Applications ISBN Hardcover: 978-3-527-32868-0",['[H]c1c([H])c([H])n2c([H])c([H])c([H])c2c1[H]'],['[#7]12:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H]'],['InChI=1S/C8H7N/c1-2-6-9-7-3-5-8(9)4-1/h1-7H'],['HOBCFUWDNJPFHB-UHFFFAOYSA-N']
isoxazole_cation->neut,-2.03,isoxazole,doi.org/10.1039/J29690000270,['[H]c1noc([H])c1[H]'],['[#8]1:[#7]:[#6](:[#6](:[#6]:1-[H])-[H])-[H]'],['InChI=1S/C3H3NO/c1-2-4-5-3-1/h1-3H'],['CTAPFRYPJLPFDF-UHFFFAOYSA-N']
1Hpyrazol3ol_neut->an,7.94,1h-pyrazol-3-ol,"The Chemistry of Heterocycles, Structure, Reactions, Synthesis, and Applications ISBN Hardcover: 978-3-527-32868-0",['[H]c1c([H])n([H])n([H])c1=O'],['[#8]=[#6]1:[#7](:[#7](:[#6](:[#6]:1-[H])-[H])-[H])-[H]'],"['InChI=1S/C3H4N2O/c6-3-1-2-4-5-3/h1-2H,(H2,4,5,6)']",['XBYRMPXUBGMOJC-UHFFFAOYSA-N']
45dibromotriazole_neut->an,5.37,dibromotriazole,"The Chemistry of Heterocycles, Structure, Reactions, Synthesis, and Applications ISBN Hardcover: 978-3-527-32868-0","['[H]n1nc(Br)c(Br)n1', '[H]n1nnc(Br)c1Br']","['[#35]-[#6]1:[#7]:[#7](:[#7]:[#6]:1-[#35])-[H]', '[#35]-[#6]1:[#7](:[#7]:[#7]:[#6]:1-[#35])-[H]']","['InChI=1S/C2HBr2N3/c3-1-2(4)6-7-5-1/h(H,5,6,7)']",['GUQUYKTWVBJKFL-UHFFFAOYSA-N']
4hpyran4one_cation->neut,0.1,4h-pyran-4-one,"The Chemistry of Heterocycles, Structure, Reactions, Synthesis, and Applications ISBN Hardcover: 978-3-527-32868-0",['[H]c1oc([H])c([H])c(=O)c1[H]'],['[#8]1:[#6](:[#6](:[#6](=[#8]):[#6](:[#6]:1-[H])-[H])-[H])-[H]'],['InChI=1S/C5H4O2/c6-5-1-3-7-4-2-5/h1-4H'],['CVQUWLDCFXOXEN-UHFFFAOYSA-N']
homoquinoline_cation->neut,3.2,homoquinoline,"The Chemistry of Heterocycles, Structure, Reactions, Synthesis, and Applications ISBN Hardcover: 978-3-527-32868-0",['[H]C1=C([H])C([H])=C2C([H])=C([H])C([H])=C([H])C(=N1)C2([H])[H]'],['[#7]1=[#6]2-[#6@](-[#6](-[#6](=[#6](-[#6](=[#6]-2-[H])-[H])-[H])-[H])=[#6](-[#6](=[#6]-1-[H])-[H])-[H])(-[H])-[H]'],"['InChI=1S/C10H9N/c1-2-6-10-8-9(4-1)5-3-7-11-10/h1-7H,8H2']",['BSQUBFJCFCOOHW-UHFFFAOYSA-N']
2aminoquinoxaline_cation->neut,3.96,2-aminoquinoxaline,10.1002/9780470186558,['[H]c1nc2c([H])c([H])c([H])c([H])c2nc1N([H])[H]'],['[#7]1:[#6]2:[#6](:[#7]:[#6](:[#6]:1-[#7](-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H]'],"['InChI=1S/C8H7N3/c9-8-5-10-6-3-1-2-4-7(6)11-8/h1-5H,(H2,9,11)']",['YOWAEZWWQFSEJD-UHFFFAOYSA-N']
5aminoquinoxaline_cation->neut,2.62,5-aminoquinoxaline,10.1002/9780470186558,['[H]c1nc2c([H])c([H])c([H])c(N([H])[H])c2nc1[H]'],['[#7]1:[#6]2:[#6](:[#7]:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[#7](-[H])-[H])-[H])-[H])-[H]'],"['InChI=1S/C8H7N3/c9-6-2-1-3-7-8(6)11-5-4-10-7/h1-5H,9H2']",['SAAYZFAHJFPOHZ-UHFFFAOYSA-N']
6aminoquinoxaline_cation->neut,2.95,6-aminoquinoxaline,10.1002/9780470186558,['[H]c1nc2c([H])c([H])c(N([H])[H])c([H])c2nc1[H]'],['[#7]1:[#6]2:[#6](:[#7]:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](-[#7](-[H])-[H]):[#6]:2-[H])-[H])-[H]'],"['InChI=1S/C8H7N3/c9-6-1-2-7-8(5-6)11-4-3-10-7/h1-5H,9H2']",['MSGRFBKVMUKEGZ-UHFFFAOYSA-N']
23diaminoquinoxaline_cation->neut,4.7,"2,3-diaminoquinoxaline",10.1002/9780470186558,['[H]c1c([H])c([H])c2nc(N([H])[H])c(N([H])[H])nc2c1[H]'],['[#7]1:[#6]2:[#6](:[#7]:[#6](-[#7](-[H])-[H]):[#6]:1-[#7](-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H]'],"['InChI=1S/C8H8N4/c9-7-8(10)12-6-4-2-1-3-5(6)11-7/h1-4H,(H2,9,11)(H2,10,12)']",['LUDZVVVPVCUUBP-UHFFFAOYSA-N']
neutralred_cation->neut,6.75,neutral red,https://doi.org/10.1016/j.molliq.2011.02.014,['[H]c1c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2nc3c([H])c(N([H])[H])c(C([H])([H])[H])c([H])c3nc2c1[H]'],['[#7](-[#6]1:[#6](:[#6]2:[#7]:[#6]3:[#6](:[#7]:[#6]:2:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](-[#7](-[H])-[H]):[#6]:3-[H])-[#6@@](-[H])(-[H])-[H])-[H])-[H])(-[#6@](-[H])(-[H])-[H])-[#6@](-[H])(-[H])-[H]'],"['InChI=1S/C15H16N4/c1-9-6-13-15(8-11(9)16)18-14-7-10(19(2)3)4-5-12(14)17-13/h4-8H,16H2,1-3H3']",['GLVRJEJEXGVOMJ-UHFFFAOYSA-N']
5methyl10hphenazin1ol_neut->an,9.5,5-methyl-10H-phenazin-1-ol,10.1002/9780470186602,['[H]Oc1c([H])c([H])c([H])c2c1N([H])c1c([H])c([H])c([H])c([H])c1N2C([H])([H])[H]'],['[#8](-[#6]1:[#6]2-[#7](-[#6]3:[#6](-[#7](-[#6]:2:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[#6@](-[H])(-[H])-[H]):[#6](:[#6](:[#6](:[#6]:3-[H])-[H])-[H])-[H])-[H])-[H]'],"['InChI=1S/C13H12N2O/c1-15-10-6-3-2-5-9(10)14-13-11(15)7-4-8-12(13)16/h2-8,14,16H,1H3']",['ZWVBCRHOFNVAHM-UHFFFAOYSA-N']
pyocyanine_cation->neut,5,pyocyanine,10.1002/9780470186602,['[H]c1c([H])c2n(C([H])([H])[H])c3c([H])c([H])c([H])c([H])c3nc-2c(=O)c1[H]'],['[#8]=[#6]1:[#6]2:[#7]:[#6]3:[#6](:[#7](:[#6]-2:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[#6@](-[H])(-[H])-[H]):[#6](:[#6](:[#6](:[#6]:3-[H])-[H])-[H])-[H]'],"['InChI=1S/C13H10N2O/c1-15-10-6-3-2-5-9(10)14-13-11(15)7-4-8-12(13)16/h2-8H,1H3']",['YNCMLFHHXWETLD-UHFFFAOYSA-N']
isoxazole3carboxylic_neut->an,2.69,isoxazole-3-carboxylic,10.1002/9780470186787,['[H]OC(=O)c1noc([H])c1[H]'],['[#8]1:[#7]:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[#8]-[H])=[#8]'],"['InChI=1S/C4H3NO3/c6-4(7)3-1-2-8-5-3/h1-2H,(H,6,7)']",['UXYRXGFUANQKTA-UHFFFAOYSA-N']
isoxazole4carboxylic_neut->an,3.42,isoxazole-4-carboxylicacid,10.1002/9780470186787,['[H]OC(=O)c1c([H])noc1[H]'],['[#8]1:[#7]:[#6](:[#6](:[#6]:1-[H])-[#6](-[#8]-[H])=[#8])-[H]'],"['InChI=1S/C4H3NO3/c6-4(7)3-1-5-8-2-3/h1-2H,(H,6,7)']",['LYPXTDXYEQEIIN-UHFFFAOYSA-N']
isoxazole5carboxylic_neut->an,2.04,isoxazole-5-carboxylic,10.1002/9780470186787,['[H]OC(=O)c1onc([H])c1[H]'],['[#8]1:[#7]:[#6](:[#6](:[#6]:1-[#6](-[#8]-[H])=[#8])-[H])-[H]'],"['InChI=1S/C4H3NO3/c6-4(7)3-1-2-5-8-3/h1-2H,(H,6,7)']",['MIIQJAUWHSUTIT-UHFFFAOYSA-N']
isoxazole5phenyl3carboxylic_neut->an,2.26,5-phenylisoxazole-3-carboxylicacid,10.1002/9780470186787,['[H]OC(=O)c1noc(-c2c([H])c([H])c([H])c([H])c2[H])c1[H]'],['[#8]1:[#7]:[#6](:[#6](:[#6]:1-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H])-[#6](-[#8]-[H])=[#8]'],"['InChI=1S/C10H7NO3/c12-10(13)8-6-9(14-11-8)7-4-2-1-3-5-7/h1-6H,(H,12,13)']",['XJYOBHXWBRKOQO-UHFFFAOYSA-N']
3phenyl4benzoyl5isoxazolone_neut->an,1.3,3-phenyl-4-benzoyl isoxazol-5-one,10.1002/9780470186787,"['[H]Oc1onc(-c2c([H])c([H])c([H])c([H])c2[H])c1C(=O)c1c([H])c([H])c([H])c([H])c1[H]', '[H]O/C(=C1\\C(=O)ON=C1c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]', '[H]c1c([H])c([H])c(C(=O)[C@@]2([H])C(=O)ON=C2c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]']","['[#8]1:[#7]:[#6](:[#6](-[#6](=[#8])-[#6]2:[#6](:[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H]):[#6]:1-[#8]-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H]', '[#8]1-[#7]=[#6](/[#6](=[#6](/[#8]-[H])-[#6]2:[#6](:[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H])-[#6]-1=[#8])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H]', '[#8]1-[#7]=[#6](-[#6@@](-[#6](=[#8])-[#6]2:[#6](:[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H])(-[#6]-1=[#8])-[H])-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H]']","['InChI=1S/C16H11NO3/c18-15(12-9-5-2-6-10-12)13-14(17-20-16(13)19)11-7-3-1-4-8-11/h1-10,19H', 'InChI=1S/C16H11NO3/c18-15(12-9-5-2-6-10-12)13-14(17-20-16(13)19)11-7-3-1-4-8-11/h1-10,18H/b15-13-', 'InChI=1S/C16H11NO3/c18-15(12-9-5-2-6-10-12)13-14(17-20-16(13)19)11-7-3-1-4-8-11/h1-10,13H/t13-/m0/s1']","['LBILKQLYAZKAHK-UHFFFAOYSA-N', 'DKBUNPMMFRSYDW-SQFISAMPSA-N', 'SVVFJNDRCLYVHB-ZDUSSCGKSA-N']"
3methyl4benzoyl5isoxazolone_neut->an,1.4,"4-benzoyl-3-methyl-2h-1,2-oxazol-5-one",10.1002/9780470186787,"['[H]O/C(=C1\\C(=O)ON=C1C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]', '[H]Oc1onc(C([H])([H])[H])c1C(=O)c1c([H])c([H])c([H])c([H])c1[H]', '[H]c1c([H])c([H])c(C(=O)[C@@]2([H])C(=O)ON=C2C([H])([H])[H])c([H])c1[H]']","['[#8]1-[#7]=[#6](/[#6](=[#6](/[#8]-[H])-[#6]2:[#6](:[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H])-[#6]-1=[#8])-[#6@@](-[H])(-[H])-[H]', '[#8]1:[#7]:[#6](:[#6](-[#6](=[#8])-[#6]2:[#6](:[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H]):[#6]:1-[#8]-[H])-[#6@@](-[H])(-[H])-[H]', '[#8]1-[#7]=[#6](-[#6@@](-[#6](=[#8])-[#6]2:[#6](:[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H])(-[#6]-1=[#8])-[H])-[#6@@](-[H])(-[H])-[H]']","['InChI=1S/C11H9NO3/c1-7-9(11(14)15-12-7)10(13)8-5-3-2-4-6-8/h2-6,13H,1H3/b10-9-', 'InChI=1S/C11H9NO3/c1-7-9(11(14)15-12-7)10(13)8-5-3-2-4-6-8/h2-6,14H,1H3', 'InChI=1S/C11H9NO3/c1-7-9(11(14)15-12-7)10(13)8-5-3-2-4-6-8/h2-6,9H,1H3/t9-/m0/s1']","['CCOFBORHAQEXFL-KTKRTIGZSA-N', 'LRBOYRKANKCHHJ-UHFFFAOYSA-N', 'WEVTYFSXIQBQEJ-VIFPVBQESA-N']"
